Date,avbls,avblsvar,Value
5/27/2019,1.177713414,-6.093332951,1.00135643
5/26/2019,1.254131843,2.211636962,1.177713414
5/25/2019,1.226995165,2.143768152,1.254131843
5/24/2019,1.201243293,-4.560448255,1.226995165
5/23/2019,1.258643059,6.907687693,1.201243293
5/22/2019,1.177317634,4.74154476,1.258643059
5/21/2019,1.124021644,-9.523394486,1.177317634
5/20/2019,1.242334013,-1.511861769,1.124021644
5/19/2019,1.261404709,1.29591243,1.242334013
5/18/2019,1.245267137,0.609271355,1.261404709
5/17/2019,1.237726027,0.571949468,1.245267137
5/16/2019,1.230687118,2.266683173,1.237726027
5/15/2019,1.203409635,-2.541311935,1.230687118
5/14/2019,1.234789487,-0.467944679,1.203409635
5/13/2019,1.240594785,-1.499772655,1.234789487
5/12/2019,1.259484184,0.062320714,1.240594785
5/11/2019,1.258699753,1.257070207,1.259484184
5/10/2019,1.243073447,-1.964053418,1.258699753
5/9/2019,1.267977197,3.746540956,1.243073447
5/8/2019,1.222187444,2.1632601,1.267977197
5/7/2019,1.196308186,0.718733776,1.222187444
5/6/2019,1.187771273,-3.29170449,1.196308186
5/5/2019,1.228199987,11.56716578,1.187771273
5/4/2019,1.100861511,-2.311603813,1.228199987
5/3/2019,1.126911234,-12.98458863,1.100861511
5/2/2019,1.295070857,7.629495102,1.126911234
5/1/2019,1.203267614,23.08706969,1.295070857
4/30/2019,0.977574344,-16.46880129,1.203267614
4/29/2019,1.170310445,-6.784619174,0.977574344
4/28/2019,1.255490709,2.94992989,1.170310445
4/27/2019,1.219515846,-1.207064415,1.255490709
4/26/2019,1.234416043,-1.700262739,1.219515846
4/25/2019,1.255767388,9.940638269,1.234416043
4/24/2019,1.142223119,-0.018144476,1.255767388
4/23/2019,1.142430407,-7.909843286,1.142223119
4/22/2019,1.240556481,2.315187892,1.142430407
4/21/2019,1.212485171,-0.197289033,1.240556481
4/20/2019,1.214882,-1.179320422,1.212485171
4/19/2019,1.229380333,-1.856452891,1.214882
4/18/2019,1.25263491,2.077661757,1.229380333
4/17/2019,1.22713911,2.580756717,1.25263491
4/16/2019,1.196266385,8.021693552,1.22713911
4/15/2019,1.107431615,-6.487333246,1.196266385
4/14/2019,1.184258404,-1.450823578,1.107431615
4/13/2019,1.201692847,-0.987254899,1.184258404
4/12/2019,1.213674912,-3.002122518,1.201692847
4/11/2019,1.251238629,2.697660305,1.213674912
4/10/2019,1.218371115,6.978177256,1.251238629
4/9/2019,1.138896872,-6.007668445,1.218371115
4/8/2019,1.211691266,-2.359252461,1.138896872
4/7/2019,1.240968854,2.30929283,1.211691266
4/6/2019,1.2129581,-2.833537058,1.240968854
4/5/2019,1.248329993,2.70035624,1.2129581
4/4/2019,1.215506975,0.841977941,1.248329993
4/3/2019,1.205358125,2.709030255,1.215506975
4/2/2019,1.173565871,-2.602192071,1.205358125
4/1/2019,1.204920209,-2.355070042,1.173565871
3/31/2019,1.233981333,1.371404088,1.204920209
3/30/2019,1.217287404,1.471919507,1.233981333
3/29/2019,1.199629819,-0.681303746,1.217287404
3/28/2019,1.207859007,14.2758547,1.199629819
3/27/2019,1.056967818,40.24714452,1.207859007
3/26/2019,0.753646587,-10.29262638,1.056967818
3/25/2019,0.840116655,-11.05631839,0.753646587
3/24/2019,0.944549,-9.147086991,0.840116655
3/23/2019,1.039646357,4.802809477,0.944549
3/22/2019,0.992002373,9.035818267,1.039646357
3/21/2019,0.909794954,-1.849928619,0.992002373
3/20/2019,0.926942733,24.79065325,0.909794954
3/19/2019,0.742798205,-5.815135808,0.926942733
3/18/2019,0.788659847,-20.14286142,0.742798205
3/17/2019,0.987588412,-5.387696246,0.788659847
3/16/2019,1.043826619,-10.29185834,0.987588412
3/15/2019,1.163580696,15.87589464,1.043826619
3/14/2019,1.004161133,-8.677284381,1.163580696
3/13/2019,1.099574324,40.34610364,1.004161133
3/12/2019,0.783473353,-11.21345476,1.099574324
3/11/2019,0.882423514,-11.6371737,0.783473353
3/10/2019,0.998636589,-0.972327131,0.882423514
3/9/2019,1.008441944,-18.38768979,0.998636589
3/8/2019,1.235649305,19.98631683,1.008441944
3/7/2019,1.029825181,-6.782396658,1.235649305
3/6/2019,1.104753978,10.08126466,1.029825181
3/5/2019,1.003580384,-13.15347892,1.104753978
3/4/2019,1.155579258,9.734178466,1.003580384
3/3/2019,1.053071407,-6.86860403,1.155579258
3/2/2019,1.130737273,0.499076216,1.053071407
3/1/2019,1.125122057,2.947615731,1.130737273
2/28/2019,1.092907348,-1.497829758,1.125122057
2/27/2019,1.109526161,6.269799366,1.092907348
2/26/2019,1.044065358,6.234430638,1.109526161
2/25/2019,0.982793762,-9.435307249,1.044065358
2/24/2019,1.085184228,-7.914236076,0.982793762
2/23/2019,1.178449504,-1.097134145,1.085184228
2/22/2019,1.1915221,12.35779308,1.178449504
2/21/2019,1.060471256,-1.809764345,1.1915221
2/20/2019,1.080017019,22.46787193,1.060471256
2/19/2019,0.881877836,-12.5780351,1.080017019
2/18/2019,1.008760027,-8.400650746,0.881877836
2/17/2019,1.101274228,-0.897437162,1.008760027
2/16/2019,1.111246972,-3.645120387,1.101274228
2/15/2019,1.153285621,-11.62318917,1.111246972
2/14/2019,1.304964063,19.60065388,1.153285621
2/13/2019,1.09110111,21.33578611,1.304964063
2/12/2019,0.899240979,-3.759132139,1.09110111
2/11/2019,0.934364993,-5.10310203,0.899240979
2/10/2019,0.984610681,4.499365123,0.934364993
2/9/2019,0.942216902,-10.29670156,0.984610681
2/8/2019,1.050370409,-0.077805012,0.942216902
2/7/2019,1.051188286,3.831470901,1.050370409
2/6/2019,1.012398531,8.22002172,1.051188286
2/5/2019,0.93550021,-4.670928658,1.012398531
2/4/2019,0.981337799,-4.221643314,0.93550021
2/3/2019,1.024592437,0.903293404,0.981337799
2/2/2019,1.015420213,-5.516638874,1.024592437
2/1/2019,1.074707971,6.383263544,1.015420213
1/31/2019,1.010222788,-1.214658074,1.074707971
1/30/2019,1.022644421,16.04570277,1.010222788
1/29/2019,0.881242818,-10.14469717,1.022644421
1/28/2019,0.98073546,-3.599963523,0.881242818
1/27/2019,1.017360051,11.63235381,0.98073546
1/26/2019,0.911348741,-11.18422801,1.017360051
1/25/2019,1.026111377,-2.761753416,0.911348741
1/24/2019,1.055254915,11.88222405,1.026111377
1/23/2019,0.943183713,17.05152693,1.055254915
1/22/2019,0.805785057,-15.98722511,0.943183713
1/21/2019,0.95912206,-7.597784541,0.805785057
1/20/2019,1.037986,-5.398051002,0.95912206
1/19/2019,1.097214181,-1.338365647,1.037986
1/18/2019,1.11209812,4.418941961,1.097214181
1/17/2019,1.065034848,11.32986071,1.11209812
1/16/2019,0.956647966,12.10224969,1.065034848
1/15/2019,0.853370891,-4.833618861,0.956647966
1/14/2019,0.896714659,-8.793037733,0.853370891
1/13/2019,0.983164703,1.266169429,0.896714659
1/12/2019,0.970871821,9.810010211,0.983164703
1/11/2019,0.884137811,1.867409927,0.970871821
1/10/2019,0.86793,-11.86315502,0.884137811
1/9/2019,0.984752745,19.12205885,0.86793
1/8/2019,0.82667539,1.688866295,0.984752745
1/7/2019,0.812945822,-15.24740676,0.82667539
1/6/2019,0.959198758,-0.72691173,0.812945822
1/5/2019,0.966222342,1.937170769,0.959198758
1/4/2019,0.947860662,18.21969966,0.966222342
1/3/2019,0.801778946,-9.749619676,0.947860662
1/2/2019,0.888393981,16.51270456,0.801778946
1/1/2019,0.76248679,-21.69263108,0.888393981
12/31/2018,0.973710138,4.638803361,0.76248679
12/30/2018,0.93054403,5.072440829,0.973710138
12/29/2018,0.885621408,-0.445056913,0.93054403
12/28/2018,0.889580548,8.233173321,0.885621408
12/27/2018,0.821911176,-11.88163165,0.889580548
12/26/2018,0.932735355,25.96562065,0.821911176
12/25/2018,0.740468193,-8.191911886,0.932735355
12/24/2018,0.806539171,-23.06557648,0.740468193
12/23/2018,1.048346286,-7.974818599,0.806539171
12/22/2018,1.139195022,5.017710525,1.048346286
12/21/2018,1.084764671,0.590634462,1.139195022
12/20/2018,1.078395297,8.84312452,1.084764671
12/19/2018,0.990779438,-2.857099742,1.078395297
12/18/2018,1.019919557,8.288453171,0.990779438
12/17/2018,0.941854396,-11.03545623,1.019919557
12/16/2018,1.05868513,-2.35847149,0.941854396
12/15/2018,1.084257023,-4.349603758,1.05868513
12/14/2018,1.1335625,5.283831231,1.084257023
12/13/2018,1.07667292,-5.65053785,1.1335625
12/12/2018,1.141154274,20.26815057,1.07667292
12/11/2018,0.948841625,-2.251921156,1.141154274
12/10/2018,0.970701047,-20.58349815,0.948841625
12/9/2018,1.222291368,11.93864309,0.970701047
12/8/2018,1.09192977,5.320542421,1.222291368
12/7/2018,1.036768085,-4.309485156,1.09192977
12/6/2018,1.083459616,-1.595656582,1.036768085
12/5/2018,1.101028246,9.525432421,1.083459616
12/4/2018,1.005271763,-5.912052569,1.101028246
12/3/2018,1.068438403,-11.68407769,1.005271763
12/2/2018,1.209791366,0.637306391,1.068438403
12/1/2018,1.202130114,8.108294292,1.209791366
11/30/2018,1.111968441,3.800630015,1.202130114
