Date,hrate,hratevar,Value
5/27/2019,46660473.76,-8.496732026,54992701.22
5/26/2019,50993232.04,-3.164556962,46660473.76
5/25/2019,52659677.53,-5.389221557,50993232.04
5/24/2019,55659279.42,9.150326797,52659677.53
5/23/2019,50993232.04,-4.968944099,55659279.42
5/22/2019,53659544.83,-1.226993865,50993232.04
5/21/2019,54326123.03,6.535947712,53659544.83
5/20/2019,50993232.04,1.361736269,54326123.03
5/19/2019,50308167.48,3.424657534,50993232.04
5/18/2019,48642334.12,-2.013422819,50308167.48
5/17/2019,49641834.14,-1.973684211,48642334.12
5/16/2019,50641334.15,-8.982035928,49641834.14
5/15/2019,55638834.23,5.696202532,50641334.15
5/14/2019,52640334.18,21.53846154,55638834.23
5/13/2019,43311667.37,4,52640334.18
5/12/2019,41645834.01,-16.66666667,43311667.37
5/11/2019,49975000.81,-1.315789474,41645834.01
5/10/2019,50641334.15,19.68503937,49975000.81
5/9/2019,42312167.35,-15.89403974,50641334.15
5/8/2019,50308167.48,17.05426357,42312167.35
5/7/2019,42978500.7,-2.272727273,50308167.48
5/6/2019,43978000.71,-8.385370286,42978500.7
5/5/2019,48003251.06,-17.39130435,43978000.71
5/4/2019,58109198.65,7.602339181,48003251.06
5/3/2019,54003657.44,22.14285714,58109198.65
5/2/2019,44213520.72,-14.11042945,54003657.44
5/1/2019,51477170.55,0,44213520.72
4/30/2019,51477170.55,18.97810219,51477170.55
4/29/2019,43266088.13,-9.271523179,51477170.55
4/28/2019,47687440.2,5.594405594,43266088.13
4/27/2019,45160953.3,-12.26993865,47687440.2
4/26/2019,51477170.55,40.51724138,45160953.3
4/25/2019,36634060.02,-13.43283582,51477170.55
4/24/2019,42318655.54,-17.28395062,36634060.02
4/23/2019,51161359.68,22.89051038,42318655.54
4/22/2019,41631660.19,-13.81578947,51161359.68
4/21/2019,48305437.78,2.013422819,41631660.19
4/20/2019,47352040.98,7.971014493,48305437.78
4/19/2019,43856252.72,-4.827586207,47352040.98
4/18/2019,46080845.25,0,43856252.72
4/17/2019,46080845.25,18.85245902,46080845.25
4/16/2019,38771469.79,-9.62962963,46080845.25
4/15/2019,42902855.92,-10.59602649,38771469.79
4/14/2019,47987638.84,-3.821656051,42902855.92
4/13/2019,49894432.44,6.081081081,47987638.84
4/12/2019,47034242.04,12.12121212,49894432.44
4/11/2019,41949459.12,-10.81081081,47034242.04
4/10/2019,47034242.04,4.964539007,41949459.12
4/9/2019,44809649.52,1.438848921,47034242.04
4/8/2019,44174051.65,-11.83558002,44809649.52
4/7/2019,50104170.89,12.85714286,44174051.65
4/6/2019,44396100.79,-1.408450704,50104170.89
4/5/2019,45030330.8,-9.554140127,44396100.79
4/4/2019,49787055.88,15.44117647,45030330.8
4/3/2019,43127640.77,-2.158273381,49787055.88
4/2/2019,44078985.78,0,43127640.77
4/1/2019,44078985.78,-5.442176871,44078985.78
3/31/2019,46615905.83,0.684931507,44078985.78
3/30/2019,46298790.82,-2.013422819,46615905.83
3/29/2019,47250135.84,11.19402985,46298790.82
3/28/2019,42493410.75,-9.459459459,47250135.84
3/27/2019,46933020.83,-1.333333333,42493410.75
3/26/2019,47567250.84,8.73880472,46933020.83
3/25/2019,43744504.06,-9.937888199,47567250.84
3/24/2019,48571483.82,12.58741259,43744504.06
3/23/2019,43141131.59,-11.18012422,48571483.82
3/22/2019,48571483.82,-7.471264368,43141131.59
3/21/2019,52493404.87,8.074534162,48571483.82
3/20/2019,48571483.82,10.2739726,52493404.87
3/19/2019,44046190.29,-10.42944785,48571483.82
3/18/2019,49174856.29,6.535947712,44046190.29
3/17/2019,46157993.94,-1.290322581,49174856.29
3/16/2019,46761366.41,14.81481481,46157993.94
3/15/2019,40727641.71,-5.594405594,46761366.41
3/14/2019,43141131.59,0.704225352,40727641.71
3/13/2019,42839445.35,4.411764706,43141131.59
3/12/2019,41029327.95,-1.4972293,42839445.35
3/11/2019,41652968.39,-5.479452055,41029327.95
3/10/2019,44067633.23,2.816901409,41652968.39
3/9/2019,42860300.81,10.9375,44067633.23
3/8/2019,38634637.35,-14.09395973,42860300.81
3/7/2019,44973132.54,8.759124088,38634637.35
3/6/2019,41351135.29,-6.164383562,44973132.54
3/5/2019,44067633.23,10.60606061,41351135.29
3/4/2019,39841969.77,-18.51851852,44067633.23
3/3/2019,48896962.9,8,39841969.77
3/2/2019,45274965.64,6.382978724,48896962.9
3/1/2019,42558467.71,-12.42236025,45274965.64
2/28/2019,48595129.79,12.58741259,42558467.71
2/27/2019,43162133.91,4.379562044,48595129.79
2/26/2019,41351135.29,-4.03257928,43162133.91
2/25/2019,43088722.17,-11.72839506,41351135.29
2/24/2019,48813797.14,36.13445378,43088722.17
2/23/2019,35857048.52,-8.461538462,48813797.14
2/22/2019,39171565.61,-16.66666667,35857048.52
