Date,mirev,mirevvar,Value
5/27/2019,15111546.14,-9.930528254,17515157.83
5/26/2019,16777656.01,2.019913908,15111546.14
5/25/2019,16445471.64,-8.020940883,16777656.01
5/24/2019,17879582.37,6.272548396,16445471.64
5/23/2019,16824271.78,-3.462205333,17879582.37
5/22/2019,17427652.91,2.047106211,16824271.78
5/21/2019,17078047.15,13.67131407,17427652.91
5/20/2019,15024060.63,-2.224131317,17078047.15
5/19/2019,15365816.57,-6.226994463,15024060.63
5/18/2019,16386183.3,-1.110346077,15365816.57
5/17/2019,16570169.52,1.83130421,16386183.3
5/16/2019,16272176.47,-0.666879338,16570169.52
5/15/2019,16381420.78,10.15987332,16272176.47
5/14/2019,14870587.89,24.34426296,16381420.78
5/13/2019,11959207.07,12.52822298,14870587.89
5/12/2019,10627740.09,-11.46173843,11959207.07
5/11/2019,12003556.32,1.937897601,10627740.09
5/10/2019,11775361.87,19.55094966,12003556.32
5/9/2019,9849659.832,-11.29697143,11775361.87
5/8/2019,11104085.16,15.90706152,9849659.832
5/7/2019,9580162.774,-1.71201828,11104085.16
5/6/2019,9747033.774,-12.67653995,9580162.774
5/5/2019,11161987.59,-12.01787523,9747033.774
5/4/2019,12686653.82,8.442422334,11161987.59
5/3/2019,11698976.79,21.12012097,12686653.82
5/2/2019,9658987.04,-13.20243878,11698976.79
5/1/2019,11128177.92,0.553995701,9658987.04
4/30/2019,11066867.95,18.58367553,11128177.92
4/29/2019,9332539.15,-10.69394265,11066867.95
4/28/2019,10450062.88,2.429166599,9332539.15
4/27/2019,10202233.63,-13.9066006,10450062.88
4/26/2019,11850192.58,38.62077039,10202233.63
4/25/2019,8548641.412,-7.665887653,11850192.58
4/24/2019,9258378.29,-15.41385681,8548641.412
4/23/2019,10945502.35,21.72966856,9258378.29
4/22/2019,8991647.213,-13.5242309,10945502.35
4/21/2019,10397880.59,2.097647439,8991647.213
4/20/2019,10184250.91,8.372564812,10397880.59
4/19/2019,9397443.839,-2.647833515,10184250.91
4/18/2019,9653040.274,-0.222764094,9397443.839
4/17/2019,9674591.791,20.40203886,9653040.274
4/16/2019,8035239.173,-9.740904383,9674591.791
4/15/2019,8902414.896,-11.00168674,8035239.173
4/14/2019,10002902.94,-5.821003736,8902414.896
4/13/2019,10621161.13,3.100974002,10002902.94
4/12/2019,10301707.85,12.29680106,10621161.13
4/11/2019,9173643.193,-11.16928011,10301707.85
4/10/2019,10327106.66,8.999262932,9173643.193
4/9/2019,9474473.85,3.331031273,10327106.66
4/8/2019,9169049.929,-11.91394897,9474473.85
4/7/2019,10409196.26,9.954738802,9169049.929
4/6/2019,9466800.953,-1.602510642,10409196.26
4/5/2019,9620978.151,-0.918447936,9466800.953
4/4/2019,9710160.924,32.96042726,9620978.151
4/3/2019,7303045.819,-0.27564246,9710160.924
4/2/2019,7323231.755,-0.514009395,7303045.819
4/1/2019,7361068.338,-4.98785745,7323231.755
3/31/2019,7747502.73,2.547345163,7361068.338
3/30/2019,7555049.541,-1.418972737,7747502.73
3/29/2019,7663796.727,13.83068735,7555049.541
3/28/2019,6732627.998,-9.924598043,7663796.727
3/27/2019,7474435.697,-1.051481191,6732627.998
3/26/2019,7553863.147,3.012045166,7474435.697
3/25/2019,7332990.171,-10.12689925,7553863.147
3/24/2019,8159271.362,11.15144436,7332990.171
3/23/2019,7340679.564,-10.58686078,8159271.362
3/22/2019,8209844.356,-6.793799866,7340679.564
3/21/2019,8808259.906,8.256902686,8209844.356
3/20/2019,8136441.823,10.59886432,8808259.906
3/19/2019,7356713.717,-10.96047407,8136441.823
3/18/2019,8262301.085,8.496222128,7356713.717
3/17/2019,7615289.199,-0.727919962,8262301.085
3/16/2019,7671128.877,14.67032428,7615289.199
3/15/2019,6689724.587,-5.233052109,7671128.877
3/14/2019,7059132.679,0.317670758,6689724.587
3/13/2019,7036778.89,4.351919978,7059132.679
3/12/2019,6743315.208,-1.66444414,7036778.89
3/11/2019,6857453.694,-5.565391092,6743315.208
3/10/2019,7261589.552,2.98908906,6857453.694
3/9/2019,7050833.849,11.39061306,7261589.552
3/8/2019,6329827.672,-11.77992784,7050833.849
3/7/2019,7175042.501,9.914359446,6329827.672
3/6/2019,6527848.169,-7.634221723,7175042.501
3/5/2019,7067388.259,10.21659707,6527848.169
3/4/2019,6412272.242,-18.80592981,7067388.259
3/3/2019,7897463.727,7.842238979,6412272.242
3/2/2019,7323163.727,6.438766723,7897463.727
3/1/2019,6880165.895,-12.37627107,7323163.727
2/28/2019,7851943.736,12.26452011,6880165.895
2/27/2019,6994145.371,-0.130462151,7851943.736
2/26/2019,7003282.003,-3.860110466,6994145.371
2/25/2019,7284470.616,-11.07127225,7003282.003
2/24/2019,8191358.181,36.28790614,7284470.616
2/23/2019,6010333.868,-8.525632165,8191358.181
2/22/2019,6570511.511,-15.90880638,6010333.868
2/21/2019,7813554.818,4.244085802,6570511.511
2/20/2019,7495441.835,2.85569502,7813554.818
2/19/2019,7287337.696,5.794664388,7495441.835
2/18/2019,6888190.192,18.19896415,7287337.696
2/17/2019,5827623.144,-9.745835574,6888190.192
2/16/2019,6456902.218,-8.519681902,5827623.144
2/15/2019,7058241.983,19.16635122,6456902.218
2/14/2019,5923015.944,-11.22740168,7058241.983
2/13/2019,6672121.867,3.783490578,5923015.944
2/12/2019,6428885.586,-6.999368719,6672121.867
2/11/2019,6912733.277,-4.017909577,6428885.586
2/10/2019,7202107.441,-3.464888418,6912733.277
2/9/2019,7460609.226,5.701014987,7202107.441
2/8/2019,7058219.098,10.02860811,7460609.226
2/7/2019,6414894.471,0.191286251,7058219.098
2/6/2019,6402647.087,6.110198968,6414894.471
2/5/2019,6033960.118,-4.402182488,6402647.087
2/4/2019,6311817.859,-9.004484364,6033960.118
2/3/2019,6936405.399,2.119590163,6311817.859
2/2/2019,6792433.643,14.31132626,6936405.399
2/1/2019,5942047.796,-5.912332189,6792433.643
1/31/2019,6315437.437,-0.564709264,5942047.796
1/30/2019,6351303.838,2.996062433,6315437.437
1/29/2019,6166550.146,-9.331696429,6351303.838
1/28/2019,6801219.282,8.790695918,6166550.146
1/27/2019,6251655.277,-14.42875084,6801219.282
1/26/2019,7305789.432,10.45149505,6251655.277
1/25/2019,6614477.63,12.92062576,7305789.432
1/24/2019,5857634.586,-12.8844522,6614477.63
1/23/2019,6723982.957,-6.046479756,5857634.586
1/22/2019,7156712.105,15.42405359,6723982.957
1/21/2019,6200364.554,-2.231192348,7156712.105
1/20/2019,6341863.732,8.747789534,6200364.554
1/19/2019,5831717.37,-4.572998667,6341863.732
1/18/2019,6111181.624,-0.000827881,5831717.37
1/17/2019,6111232.218,-9.926676766,6111181.624
1/16/2019,6784730.482,9.15360235,6111232.218
1/15/2019,6215764.149,-2.150655372,6784730.482
1/14/2019,6352381.994,-7.314164207,6215764.149
1/13/2019,6853670.725,-9.019001182,6352381.994
1/12/2019,7533079.23,-9.972032624,6853670.725
1/11/2019,8367487.848,-2.819817356,7533079.23
1/10/2019,8610282.076,19.42172488,8367487.848
1/9/2019,7209979.662,3.370882044,8610282.076
1/8/2019,6974865.184,-12.03918206,7209979.662
1/7/2019,7929513.785,10.21653834,6974865.184
1/6/2019,7194486.33,-4.88618876,7929513.785
1/5/2019,7564081.637,2.647490698,7194486.33
1/4/2019,7368988.356,4.811005228,7564081.637
1/3/2019,7030739.129,-5.072593346,7368988.356
1/2/2019,7406437.589,-12.71909312,7030739.129
1/1/2019,8485747.747,24.63278454,7406437.589
12/31/2018,6808599.983,-13.62584746,8485747.747
12/30/2018,7882682.24,-4.044681977,6808599.983
12/29/2018,8214950.878,8.52872188,7882682.24
12/28/2018,7569379.548,-1.051662323,8214950.878
12/27/2018,7649829.927,-4.799599576,7569379.548
12/26/2018,8035501.839,-9.942905272,7649829.927
12/25/2018,8922674.958,3.407082655,8035501.839
12/24/2018,8628688.412,20.65336194,8922674.958
12/23/2018,7151635.291,4.692305476,8628688.412
12/22/2018,6831099.247,-5.358600583,7151635.291
12/21/2018,7217876.414,24.38675123,6831099.247
12/20/2018,5802769.461,-15.3617703,7217876.414
12/19/2018,6855967.43,44.30641675,5802769.461
12/18/2018,4750978.913,-21.68344338,6855967.43
12/17/2018,6066378.704,0.017703928,4750978.913
12/16/2018,6065304.907,7.277939878,6066378.704
12/15/2018,5653823.064,7.273733903,6065304.907
12/14/2018,5270463.568,-2.997315667,5653823.064
12/13/2018,5433317.237,-1.98041244,5270463.568
12/12/2018,5543093.347,-2.846284412,5433317.237
12/11/2018,5705487.756,3.332985796,5543093.347
12/10/2018,5521458.334,11.33584113,5705487.756
12/9/2018,4959282.005,-22.78629028,5521458.334
12/8/2018,6422799.815,0.807758541,4959282.005
12/7/2018,6371334.814,-8.436302575,6422799.815
12/6/2018,6958363.405,20.44488898,6371334.814
12/5/2018,5777217.666,-4.281449051,6958363.405
12/4/2018,6035630.094,-7.274085326,5777217.666
12/3/2018,6509108.176,21.61110998,6035630.094
12/2/2018,5352395.992,-7.532287209,6509108.176
12/1/2018,5788394.49,-6.812422838,5352395.992
11/30/2018,6211551.653,-1.146703578,5788394.49
11/29/2018,6283605.988,12.41162026,6211551.653
11/28/2018,5589818.893,-9.728349875,6283605.988
11/27/2018,6192219.69,-20.70530572,5589818.893
11/26/2018,7809122.345,13.29525642,6192219.69
11/25/2018,6892717.835,-3.123178864,7809122.345
11/24/2018,7114929.819,15.18582928,6892717.835
11/23/2018,6176914.177,-23.10417325,7114929.819
11/22/2018,8032834.08,-6.220984671,6176914.177
11/21/2018,8565705.294,-1.774072762,8032834.08
11/20/2018,8720411.743,-14.45630042,8565705.294
11/19/2018,10194101.71,13.008437,8720411.743
11/18/2018,9020655.432,-1.209884586,10194101.71
11/17/2018,9131131.586,-13.70868734,9020655.432
11/16/2018,10581750.71,9.391839538,9131131.586
11/15/2018,9673254.194,-14.59345172,10581750.71
11/14/2018,11326127.08,-3.447415279,9673254.194
11/13/2018,11730527.06,10.82263535,11326127.08
11/12/2018,10584955.89,2.550442197,11730527.06
11/11/2018,10321706.72,3.770581346,10584955.89
11/10/2018,9946659.822,-7.546227069,10321706.72
11/9/2018,10758522.35,3.088365889,9946659.822
11/8/2018,10436213.88,-10.85367433,10758522.35
