Date,trfusd,trfusdvar,Value
5/27/2019,1030857.676,-32.61622071,778109.5455
5/26/2019,1529830.602,21.35414971,1030857.676
5/25/2019,1260633.118,-9.671921769,1529830.602
5/24/2019,1395616.007,-13.3534938,1260633.118
5/23/2019,1610700.844,9.188279886,1395616.007
5/22/2019,1475159.098,48.68546023,1610700.844
5/21/2019,992134.0629,0.302740449,1475159.098
5/20/2019,989139.5375,-40.09973467,992134.0629
5/19/2019,1651310.778,-9.440746987,989139.5375
5/18/2019,1823458.921,17.55426694,1651310.778
5/17/2019,1551163.534,46.03311039,1823458.921
5/16/2019,1062199.887,27.12279527,1551163.534
5/15/2019,835569.9581,12.24266822,1062199.887
5/14/2019,744431.6598,-12.93318827,835569.9581
5/13/2019,855011.9673,9.629840671,744431.6598
5/12/2019,779908.0634,20.39826449,855011.9673
5/11/2019,647773.5096,-1.432452267,779908.0634
5/10/2019,657187.4055,21.40538056,647773.5096
5/9/2019,541316.5401,25.45191592,657187.4055
5/8/2019,431493.2427,20.01984654,541316.5401
5/7/2019,359518.2423,4.069344529,431493.2427
5/6/2019,345460.2736,-24.55013857,359518.2423
5/5/2019,457867.34,31.88449615,345460.2736
5/4/2019,347172.9835,-0.375430222,457867.34
5/3/2019,348481.2876,-22.53409968,347172.9835
5/2/2019,449851.2069,20.12348927,348481.2876
5/1/2019,374490.626,47.16096101,449851.2069
4/30/2019,254476.8826,-11.46811876,374490.626
4/29/2019,287440.9524,-40.47595914,254476.8826
4/28/2019,482898.9233,-5.546313662,287440.9524
4/27/2019,511254.7133,-28.4163284,482898.9233
4/26/2019,714205.7704,33.91467117,511254.7133
4/25/2019,533328.9954,43.35156829,714205.7704
4/24/2019,372042.6653,40.20455939,533328.9954
4/23/2019,265357.0375,-13.86030579,372042.6653
4/22/2019,308054.3064,-25.26829558,265357.0375
4/21/2019,412213.6766,8.143441363,308054.3064
4/20/2019,381173.0711,-5.252336945,412213.6766
4/19/2019,402303.4012,2.822012324,381173.0711
4/18/2019,391261.941,-3.133471084,402303.4012
4/17/2019,403918.614,38.52443368,391261.941
4/16/2019,291586.5478,-13.2592448,403918.614
4/15/2019,336158.6455,-33.56468154,291586.5478
4/14/2019,505993.8799,-14.13805526,336158.6455
4/13/2019,589310.9939,0.392610313,505993.8799
4/12/2019,587006.3464,-1.732317864,589310.9939
4/11/2019,597354.4238,-12.2434316,587006.3464
4/10/2019,680694.8297,55.25784163,597354.4238
4/9/2019,438428.6311,7.543547949,680694.8297
4/8/2019,407675.4389,-28.71835638,438428.6311
4/7/2019,571922.052,-25.51303135,407675.4389
4/6/2019,767814.9109,7.66624008,571922.052
4/5/2019,713143.6096,33.23495352,767814.9109
4/4/2019,535252.6426,108.7882854,713143.6096
4/3/2019,256361.4341,39.86348109,535252.6426
4/2/2019,183294.0465,-18.37768272,256361.4341
4/1/2019,224563.6398,-13.20303508,183294.0465
3/31/2019,258722.9173,34.12551367,224563.6398
3/30/2019,192896.1241,0.139264238,258722.9173
3/29/2019,192627.8624,34.46523537,192896.1241
3/28/2019,143254.769,23.34079488,192627.8624
3/27/2019,116145.4887,85.44143456,143254.769
3/26/2019,62631.89724,-12.89659596,116145.4887
3/25/2019,71905.22337,-33.78720577,62631.89724
3/24/2019,108597.174,-24.09402184,71905.22337
3/23/2019,143068.0121,30.67974637,108597.174
3/22/2019,109479.8667,22.42231607,143068.0121
3/21/2019,89428.03092,-0.041996981,109479.8667
3/20/2019,89465.60377,33.47495377,89428.03092
3/19/2019,67028.00881,-25.27544944,89465.60377
3/18/2019,89700.11637,-26.44423357,67028.00881
3/17/2019,121948.4491,-16.41620768,89700.11637
3/16/2019,145899.6364,4.290653419,121948.4491
3/15/2019,139897.1352,14.42520151,145899.6364
3/14/2019,122260.7724,1.795882743,139897.1352
3/13/2019,120103.8481,60.41714488,122260.7724
3/12/2019,74869.70809,-22.17498968,120103.8481
3/11/2019,96202.63175,-28.66380584,74869.70809
3/10/2019,134858.094,-9.118163973,96202.63175
3/9/2019,148388.3907,-0.071348027,134858.094
3/8/2019,148494.3385,34.87934867,148388.3907
3/7/2019,110094.199,3.169079131,148494.3385
3/6/2019,106712.3986,30.37159991,110094.199
3/5/2019,81852.48836,-15.54447979,106712.3986
3/4/2019,96917.86654,-17.25750678,81852.48836
3/3/2019,117131.9147,0.589924769,96917.86654
3/2/2019,116444.9769,-6.98194321,117131.9147
3/1/2019,125185.3467,-8.893618423,116444.9769
2/28/2019,137405.6839,-7.652489902,125185.3467
2/27/2019,148791.9748,25.22836313,137405.6839
2/26/2019,118816.5133,16.23986196,148791.9748
2/25/2019,102216.6676,-33.9806863,118816.5133
2/24/2019,154828.4311,12.95449115,102216.6676
2/23/2019,137071.5139,-8.140331946,154828.4311
2/22/2019,149218.3859,3.677648946,137071.5139
2/21/2019,143925.3179,28.44442005,149218.3859
2/20/2019,112052.6044,60.93628353,143925.3179
2/19/2019,69625.44554,-14.25061959,112052.6044
2/18/2019,81196.44154,-15.03107881,69625.44554
2/17/2019,95560.16531,1.113509855,81196.44154
2/16/2019,94507.81151,-26.80475534,95560.16531
2/15/2019,129117.4201,3.820004137,94507.81151
2/14/2019,124366.6104,47.87725852,129117.4201
2/13/2019,84101.24156,69.38335793,124366.6104
2/12/2019,49651.41947,-23.42045808,84101.24156
2/11/2019,64836.40177,-11.38114386,49651.41947
2/10/2019,73163.21221,28.38542439,64836.40177
2/9/2019,56987.16389,-23.2355395,73163.21221
2/8/2019,74236.3895,24.7102488,56987.16389
2/7/2019,59527.09598,0.904029458,74236.3895
2/6/2019,58993.77488,15.37095159,59527.09598
2/5/2019,51133.99349,-22.14128053,58993.77488
2/4/2019,65675.35895,-42.57692952,51133.99349
2/3/2019,114371.0331,14.03855644,65675.35895
2/2/2019,100291.5476,36.88290948,114371.0331
2/1/2019,73268.12966,-7.380684551,100291.5476
1/31/2019,79106.74928,-5.327144124,73268.12966
1/30/2019,83558.00462,47.22466892,79106.74928
1/29/2019,56755.43727,-20.46070732,83558.00462
1/28/2019,71355.21999,-19.54300361,56755.43727
1/27/2019,88687.4022,8.144001556,71355.21999
1/26/2019,82008.619,1.037877686,88687.4022
1/25/2019,81166.21298,9.119576103,82008.619
1/24/2019,74382.81551,5.236769153,81166.21298
1/23/2019,70681.39407,35.3741434,74382.81551
1/22/2019,52211.88648,-19.51244127,70681.39407
1/21/2019,64869.51189,-14.6255597,52211.88648
1/20/2019,75982.35684,-10.63449317,64869.51189
1/19/2019,85024.25548,-6.380401732,75982.35684
1/18/2019,90818.86385,17.12975913,85024.25548
1/17/2019,77536.96799,7.598119341,90818.86385
1/16/2019,72061.63869,41.19961215,77536.96799
1/15/2019,51035.29506,-18.25908151,72061.63869
1/14/2019,62435.43136,-29.61804725,51035.29506
1/13/2019,88709.4332,-9.973345937,62435.43136
1/12/2019,98536.85458,1.059020735,88709.4332
1/11/2019,97504.2642,15.33726393,98536.85458
1/10/2019,84538.38845,-12.2728727,97504.2642
1/9/2019,96365.16212,48.11666829,84538.38845
1/8/2019,65060.30903,37.05417863,96365.16212
1/7/2019,47470.50377,-36.57420786,65060.30903
1/6/2019,74844.16381,1.00565866,47470.50377
1/5/2019,74098.98099,6.212634754,74844.16381
1/4/2019,69764.75178,65.58161983,74098.98099
1/3/2019,42133.14971,-30.14776179,69764.75178
1/2/2019,60317.53712,13.12349293,42133.14971
1/1/2019,53320.08017,-10.99512368,60317.53712
12/31/2018,59906.92013,-10.95953031,53320.08017
12/30/2018,67280.5527,6.119590257,59906.92013
12/29/2018,63400.69024,2.139026941,67280.5527
12/28/2018,62072.93347,-10.99816001,63400.69024
12/27/2018,69743.42718,-27.48599849,62072.93347
12/26/2018,96179.25605,54.57280403,69743.42718
12/25/2018,62222.6249,-15.26756405,96179.25605
12/24/2018,73434.24534,-40.93091293,62222.6249
12/23/2018,124319.2488,12.97799234,73434.24534
12/22/2018,110038.4653,-12.24810879,124319.2488
12/21/2018,125397.2578,32.25122926,110038.4653
12/20/2018,94817.46107,33.25026147,125397.2578
12/19/2018,71157.42965,46.49341177,94817.46107
12/18/2018,48573.80874,-18.03134817,71157.42965
12/17/2018,59259.00653,-27.971888,48573.80874
12/16/2018,82272.05307,9.332401889,59259.00653
12/15/2018,75249.4701,-2.782944501,82272.05307
12/14/2018,77403.56845,-3.118821598,75249.4701
12/13/2018,79895.36226,-1.309345507,77403.56845
12/12/2018,80955.34747,36.28290517,79895.36226
12/11/2018,59402.42275,-12.45822161,80955.34747
12/10/2018,67856.08408,-36.12959207,59402.42275
12/9/2018,106240.2547,-0.32151944,67856.08408
12/8/2018,106582.9396,4.989805739,106240.2547
12/7/2018,101517.4177,-18.64770486,106582.9396
12/6/2018,124787.4046,1.045927423,101517.4177
12/5/2018,123495.7289,27.47802281,124787.4046
12/4/2018,96876.09374,-24.37643548,123495.7289
12/3/2018,128103.0514,-23.50710022,96876.09374
