DateTime,txperday,txvar,Total Per Day
5/27/2019 0:00,378005,12.30595541,397195
5/26/2019 0:00,336585,-10.26745011,378005
5/25/2019 0:00,375098,-2.87794559,336585
5/24/2019 0:00,386213,-2.04054198,375098
5/23/2019 0:00,394258,3.302738351,386213
5/22/2019 0:00,381653,-0.139199602,394258
5/21/2019 0:00,382185,9.4436824,381653
5/20/2019 0:00,349207,-2.000364825,382185
5/19/2019 0:00,356335,-1.278570439,349207
5/18/2019 0:00,360950,-4.068484923,356335
5/17/2019 0:00,376258,2.349430528,360950
5/16/2019 0:00,367621,0.525568842,376258
5/15/2019 0:00,365699,-7.52987524,367621
5/14/2019 0:00,395478,17.7610167,365699
5/13/2019 0:00,335831,-2.019530099,395478
5/12/2019 0:00,342753,6.216763973,335831
5/11/2019 0:00,322692,-10.88539639,342753
5/10/2019 0:00,362109,-7.726708644,322692
5/9/2019 0:00,392431,18.51231084,362109
5/8/2019 0:00,331131,-12.75143205,392431
5/7/2019 0:00,379526,15.07797173,331131
5/6/2019 0:00,329799,-7.278569983,379526
5/5/2019 0:00,355688,-6.43089016,329799
5/4/2019 0:00,380134,-16.14925465,355688
5/3/2019 0:00,453346,2.722213662,380134
5/2/2019 0:00,441332,28.52208859,453346
5/1/2019 0:00,343390,-8.565631499,441332
4/30/2019 0:00,375559,1.346030855,343390
4/29/2019 0:00,370571,2.67087061,375559
4/28/2019 0:00,360931,-5.556238797,370571
4/27/2019 0:00,382165,0.129430845,360931
4/26/2019 0:00,381671,-6.527643421,382165
4/25/2019 0:00,408325,32.32172659,381671
4/24/2019 0:00,308585,-10.20212778,408325
4/23/2019 0:00,343644,-12.22218533,308585
4/22/2019 0:00,391493,23.55120603,343644
4/21/2019 0:00,316867,-12.26773725,391493
4/20/2019 0:00,361175,-5.888131495,316867
4/19/2019 0:00,383772,9.497098315,361175
4/18/2019 0:00,350486,-2.658190231,383772
4/17/2019 0:00,360057,-4.84072595,350486
4/16/2019 0:00,378373,12.06701991,360057
4/15/2019 0:00,337631,-9.388049768,378373
4/14/2019 0:00,372612,0.528797902,337631
4/13/2019 0:00,370652,-7.953938726,372612
4/12/2019 0:00,402681,1.582716753,370652
4/11/2019 0:00,396407,14.2794955,402681
4/10/2019 0:00,346875,-6.555336751,396407
4/9/2019 0:00,371209,5.867942071,346875
4/8/2019 0:00,350634,-2.209145041,371209
4/7/2019 0:00,358555,-7.867215524,350634
4/6/2019 0:00,389172,9.610477398,358555
4/5/2019 0:00,355050,-1.252388382,389172
4/4/2019 0:00,359553,-10.02875152,355050
4/3/2019 0:00,399631,8.390969205,359553
4/2/2019 0:00,368694,-3.19892459,399631
4/1/2019 0:00,380878,0.034668782,368694
3/31/2019 0:00,380746,2.333744554,380878
3/30/2019 0:00,372063,-4.912288772,380746
3/29/2019 0:00,391284,2.206155084,372063
3/28/2019 0:00,382838,5.110302698,391284
3/27/2019 0:00,364225,9.763190569,382838
3/26/2019 0:00,331828,47.01910467,364225
3/25/2019 0:00,225704,-7.32858967,331828
3/24/2019 0:00,243553,-19.06198802,225704
3/23/2019 0:00,300913,0.602788272,243553
3/22/2019 0:00,299110,-3.45310644,300913
3/21/2019 0:00,309808,3.270710276,299110
3/20/2019 0:00,299996,1.450422208,309808
3/19/2019 0:00,295707,28.90509549,299996
3/18/2019 0:00,229399,-10.98180435,295707
3/17/2019 0:00,257699,-13.20051197,229399
3/16/2019 0:00,296890,0.252920062,257699
3/15/2019 0:00,296141,2.254748611,296890
3/14/2019 0:00,289611,2.20927401,296141
3/13/2019 0:00,283351,-4.015514642,289611
3/12/2019 0:00,295205,38.48012197,283351
3/11/2019 0:00,213175,-11.91479691,295205
3/10/2019 0:00,242010,-13.93945428,213175
3/9/2019 0:00,281209,-1.052776028,242010
3/8/2019 0:00,284201,2.625202668,281209
3/7/2019 0:00,276931,-3.499620175,284201
3/6/2019 0:00,286974,-3.995102303,276931
3/5/2019 0:00,298916,-15.85353838,286974
3/4/2019 0:00,355233,6.369606032,298916
3/3/2019 0:00,333961,-6.932395489,355233
3/2/2019 0:00,358837,-1.264335557,333961
3/1/2019 0:00,363432,4.780438863,358837
2/28/2019 0:00,346851,-5.329999809,363432
2/27/2019 0:00,366379,8.793992232,346851
2/26/2019 0:00,336764,5.476731876,366379
2/25/2019 0:00,319278,-3.901685824,336764
2/24/2019 0:00,332241,-4.653385219,319278
2/23/2019 0:00,348456,18.13589547,332241
2/22/2019 0:00,294962,-6.166752029,348456
2/21/2019 0:00,314347,-10.35382558,294962
2/20/2019 0:00,350653,2.958508649,314347
2/19/2019 0:00,340577,2.21920086,350653
2/18/2019 0:00,333183,1.506528799,340577
2/17/2019 0:00,328238,11.694207,333183
2/16/2019 0:00,293872,-17.27647883,328238
2/15/2019 0:00,355246,1.034100282,293872
2/14/2019 0:00,351610,25.44641742,355246
2/13/2019 0:00,280287,-8.447520652,351610
2/12/2019 0:00,306149,1.762019359,280287
2/11/2019 0:00,300848,-3.541587847,306149
2/10/2019 0:00,311894,-7.887726593,300848
2/9/2019 0:00,338602,-2.889772225,311894
2/8/2019 0:00,348678,-0.198642135,338602
2/7/2019 0:00,349372,-1.7486431,348678
2/6/2019 0:00,355590,6.740190193,349372
2/5/2019 0:00,333136,12.33531723,355590
2/4/2019 0:00,296555,-9.208778021,333136
2/3/2019 0:00,326634,-2.874219447,296555
2/2/2019 0:00,336300,-5.349724746,326634
2/1/2019 0:00,355308,8.880635434,336300
1/31/2019 0:00,326328,1.093876337,355308
1/30/2019 0:00,322797,2.801592357,326328
1/29/2019 0:00,314000,16.33248863,322797
1/28/2019 0:00,269916,-7.394293713,314000
