date,open,close,volume,pricevar,classes,,prevopen,prevclose,logprevvol,prevpricevar,prevclasses,classes,
1-Jan-14,754.97,771.4,"22,489,400",2.176245414,5,,760.32,754.01,16.85513052,-0.829913721,3,5,
2-Jan-14,773.44,802.39,"38,489,500",3.743018204,6,,754.97,771.4,16.92855465,2.176245414,5,6,
3-Jan-14,802.85,818.72,"37,810,100",1.976707978,5,,773.44,802.39,17.46589603,3.743018204,6,5,
4-Jan-14,823.27,859.51,"38,005,000",4.401958045,6,,802.85,818.72,17.44808682,1.976707978,5,6,
5-Jan-14,858.55,933.53,"72,898,496",8.733329451,6,,823.27,859.51,17.45322829,4.401958045,6,6,
6-Jan-14,936.05,953.29,"85,565,696",1.841781956,5,,858.55,933.53,18.10457857,8.733329451,6,5,
7-Jan-14,946.49,802,"81,311,696",-15.26587708,1,,936.05,953.29,18.26479501,1.841781956,5,1,
8-Jan-14,795.99,842.72,"74,175,600",5.870676767,6,,946.49,802,18.21380043,-15.26587708,1,6,
9-Jan-14,841.47,846.86,"59,998,600",0.640545712,4,,795.99,842.72,18.12194581,5.870676767,6,4,
10-Jan-14,846.69,868.48,"31,876,800",2.573551123,5,,841.47,846.86,17.90983179,0.640545712,4,5,
11-Jan-14,867.32,913.95,"44,754,200",5.376331688,6,,846.69,868.48,17.27738903,2.573551123,5,6,
12-Jan-14,919.6,863.22,"39,623,500",-6.13092649,1,,867.32,913.95,17.61669585,5.376331688,6,1,
13-Jan-14,860.19,841.2,"45,580,900",-2.207651798,2,,919.6,863.22,17.49493293,-6.13092649,1,2,
14-Jan-14,843.17,833.27,"20,829,800",-1.174140446,3,,860.19,841.2,17.63499933,-2.207651798,2,3,
15-Jan-14,833.12,860.9,"28,107,200",3.33445362,5,,843.17,833.27,16.85189521,-1.174140446,3,5,
16-Jan-14,860.29,835.63,"19,149,300",-2.866475258,2,,833.12,860.9,17.15153633,3.33445362,5,2,
17-Jan-14,834.49,814.64,"39,031,700",-2.378698367,2,,860.29,835.63,16.76777672,-2.866475258,2,2,
18-Jan-14,816.07,840,"18,052,700",2.93234649,5,,834.49,814.64,17.47988469,-2.378698367,2,5,
19-Jan-14,839.66,870.96,"24,365,700",3.727699307,6,,816.07,840,16.70880582,2.93234649,5,6,
20-Jan-14,871.39,870.2,"27,652,700",-0.136563422,3,,839.66,870.96,17.00868696,3.727699307,6,3,
21-Jan-14,869.65,863.91,"18,997,300",-0.660035647,3,,871.39,870.2,17.13523393,-0.136563422,3,3,
22-Jan-14,867.21,845.59,"18,453,700",-2.493052433,2,,869.65,863.91,16.75980742,-0.660035647,3,2,
23-Jan-14,845.46,822.04,"15,607,100",-2.770089655,2,,867.21,845.59,16.73077545,-2.493052433,2,2,
24-Jan-14,822.43,797.07,"34,912,000",-3.083545104,2,,845.46,822.04,16.5632365,-2.770089655,2,2,
25-Jan-14,796.24,853.61,"24,303,900",7.205114036,6,,822.43,797.07,17.36834117,-3.083545104,2,6,
26-Jan-14,853.68,885.28,"32,224,300",3.701621216,6,,796.24,853.61,17.00614739,7.205114036,6,6,
27-Jan-14,884.6,771.39,"49,233,600",-12.79787475,1,,853.68,885.28,17.28823138,3.701621216,6,1,
28-Jan-14,774.02,812.51,"44,875,500",4.972739722,6,,884.6,771.39,17.71208688,-12.79787475,1,6,
29-Jan-14,809.96,826,"17,984,400",1.980344708,5,,774.02,812.51,17.61940255,4.972739722,6,5,
30-Jan-14,826.02,819.03,"29,918,200",-0.846226484,3,,809.96,826,16.70501527,1.980344708,5,3,
31-Jan-14,818.43,829.92,"17,107,900",1.403907481,4,,826.02,819.03,17.21397755,-0.846226484,3,4,
1-Feb-14,828.61,832.58,"19,668,700",0.479115627,4,,818.43,829.92,16.6550509,1.403907481,4,4,
2-Feb-14,832.9,825.37,"11,300,900",-0.904070116,3,,828.61,832.58,16.7945391,0.479115627,4,3,
3-Feb-14,824.08,823.83,"13,940,100",-0.03033686,3,,832.9,825.37,16.24039293,-0.904070116,3,3,
