date,bullwords,bearwords,bullvar,bearvar,open,close,logvol,pricevar,openvar,closevar,logvolvar,txperday,txvar,avbls,avblsvar,mirev,mirevvar,hrate,hratevar,cptra,cptravar,ntrbl,ntrblvar,trfee,trfeevar,trfusd,trfusdvar,class
5/24/2019,36,31,-23.40425532,-6.060606061,7677.27,7881.85,23.92018672,2.664749318,-3.506910884,2.627319803,-0.044588624,386213,-2.04054198,1.201243293,-4.560448255,17879582.37,6.272548396,55659279.42,9.150326797,45.27771836,2.505386822,2364.592814,-5.01623817,176.7383135,-12.71380941,1395616.007,-13.3534938,3
5/23/2019,47,33,17.5,57.14285714,7956.29,7680.07,23.93085716,-3.471718603,-0.271748327,-3.557054649,-0.068322715,394258,3.302738351,1.258643059,6.907687693,16824271.78,-3.462205333,50993232.04,-4.968944099,44.17106239,-3.286561794,2364.592814,-5.01623817,202.4814146,8.802531481,1610700.844,9.188279886,4
5/22/2019,40,21,-27.27272727,-4.545454545,7977.97,7963.33,23.94721855,-0.183505328,-2.671125252,-0.187759062,0.219483479,381653,-0.139199602,1.177317634,4.74154476,17427652.91,2.047106211,53659544.83,-1.226993865,45.67210432,-7.238923185,2364.592814,-5.01623817,186.0999113,48.08937697,1475159.098,48.68546023,2
5/21/2019,55,22,22.22222222,15.78947368,8196.92,7978.31,23.89477347,-2.666977352,12.78157832,-2.676119736,-0.345442588,382185,9.4436824,1.124021644,-9.523394486,17078047.15,13.67131407,54326123.03,6.535947712,49.23628087,17.88082868,2364.592814,-5.01623817,125.667293,-6.766233367,992134.0629,0.302740449,3
5/20/2019,45,19,4.651162791,-13.63636364,7267.96,8197.69,23.97760232,12.79217277,-1.003860162,12.74175825,0.81180534,349207,-2.000364825,1.242334013,-1.511861769,15024060.63,-2.224131317,50993232.04,1.361736269,41.7678442,-1.694076205,2364.592814,-5.01623817,134.7873175,-40.6919812,989139.5375,-40.09973467,2
5/19/2019,43,22,34.375,-24.13793103,7341.66,7271.21,23.78451833,-0.959592245,-6.913589952,-0.989801059,-1.41819715,356335,-1.278570439,1.261404709,1.29591243,15365816.57,-6.226994463,50308167.48,3.424657534,42.48761681,-2.750443786,2364.592814,-5.01623817,227.2665994,-0.546655934,1651310.778,-9.440746987,5
5/18/2019,32,29,-42.85714286,-3.333333333,7886.93,7343.9,24.12668225,-6.885188533,-3.753371164,-6.861333864,-0.405142002,360950,-4.068484923,1.245267137,0.609271355,16386183.3,-1.110346077,48642334.12,-2.013422819,43.6892655,-2.734768593,2364.592814,-5.01623817,228.5157945,18.79647266,1823458.921,17.55426694,3
5/17/2019,56,30,5.660377358,100,8194.5,7884.91,24.2248272,-3.778021844,2.567536614,-3.903148868,0.652917008,376258,2.349430528,1.237726027,0.571949468,16570169.52,1.83130421,49641834.14,-1.973684211,44.91765954,1.408687501,2364.592814,-5.01623817,192.3590738,44.97107884,1551163.534,46.03311039,1
5/16/2019,53,15,0.1,-28.57142857,7989.37,8205.17,24.06768519,2.701089072,2.324446585,2.636213759,-0.505576809,367621,0.525568842,1.230687118,2.266683173,16272176.47,-0.666879338,50641334.15,-8.982035928,44.29369973,5.567769915,2364.592814,-5.01623817,132.6878956,18.259626,1062199.887,27.12279527,1
5/15/2019,53,21,6,10.52631579,7807.88,7994.42,24.18998414,2.389124833,12.00227221,2.296888516,0.45931182,365699,-7.52987524,1.203409635,-2.541311935,16381420.78,10.15987332,55638834.23,5.696202532,41.95759725,-4.471660662,2364.592814,-5.01623817,112.2005034,7.802014216,835569.9581,12.24266822,4
