Date,BullPrev,BearPrev,BullVar,BearVar,BullWords,BearWords,10BullVar,10BearVar
5/24/2019,36,31,-23.40425532,-6.060606061,43,23,-234.0425532,-60.60606061
5/23/2019,47,33,17.5,57.14285714,36,31,175,571.4285714
5/22/2019,40,21,-27.27272727,-4.545454545,47,33,-272.7272727,-45.45454545
5/21/2019,55,22,22.22222222,15.78947368,40,21,222.2222222,157.8947368
5/20/2019,45,19,4.651162791,-13.63636364,55,22,46.51162791,-136.3636364
5/19/2019,43,22,34.375,-24.13793103,45,19,343.75,-241.3793103
5/18/2019,32,29,-42.85714286,-3.333333333,43,22,-428.5714286,-33.33333333
5/17/2019,56,30,5.660377358,100,32,29,56.60377358,1000
5/16/2019,53,15,0.1,-28.57142857,56,30,1,-285.7142857
5/15/2019,53,21,6,10.52631579,53,15,60,105.2631579
5/14/2019,50,19,11.11111111,-34.48275862,53,21,111.1111111,-344.8275862
5/13/2019,45,29,21.62162162,-32.55813953,50,19,216.2162162,-325.5813953
5/12/2019,37,43,0.1,48.27586207,45,29,1,482.7586207
5/11/2019,37,29,-11.9047619,20.83333333,37,43,-119.047619,208.3333333
5/10/2019,42,24,-17.64705882,-14.28571429,37,29,-176.4705882,-142.8571429
5/9/2019,51,28,6.25,12,42,24,62.5,120
5/8/2019,48,25,-5.882352941,-16.66666667,51,28,-58.82352941,-166.6666667
5/7/2019,51,30,-1.923076923,-14.28571429,48,25,-19.23076923,-142.8571429
5/6/2019,52,35,13.04347826,40,51,30,130.4347826,400
5/5/2019,46,25,-9.803921569,-10.71428571,52,35,-98.03921569,-107.1428571
5/4/2019,51,28,21.42857143,-26.31578947,46,25,214.2857143,-263.1578947
5/3/2019,42,38,2.43902439,-2.564102564,51,28,24.3902439,-25.64102564
5/2/2019,41,39,2.5,14.70588235,42,38,25,147.0588235
5/1/2019,40,34,-21.56862745,9.677419355,41,39,-215.6862745,96.77419355
4/30/2019,51,31,6.25,6.896551724,40,34,62.5,68.96551724
4/29/2019,48,29,-7.692307692,-12.12121212,51,31,-76.92307692,-121.2121212
4/28/2019,52,33,40.54054054,-8.333333333,48,29,405.4054054,-83.33333333
4/27/2019,37,36,2.777777778,-5.263157895,52,33,27.77777778,-52.63157895
4/26/2019,36,38,-30.76923077,26.66666667,37,36,-307.6923077,266.6666667
4/25/2019,52,30,-5.454545455,25,36,38,-54.54545455,250
4/24/2019,55,24,27.90697674,-4,52,30,279.0697674,-40
4/23/2019,43,25,-6.52173913,-10.71428571,55,24,-65.2173913,-107.1428571
4/22/2019,46,28,-4.166666667,-6.666666667,43,25,-41.66666667,-66.66666667
4/21/2019,48,30,14.28571429,-9.090909091,46,28,142.8571429,-90.90909091
4/20/2019,42,33,-12.5,43.47826087,48,30,-125,434.7826087
4/19/2019,48,23,-11.11111111,-8,42,33,-111.1111111,-80
4/18/2019,54,25,42.10526316,-19.35483871,48,23,421.0526316,-193.5483871
4/17/2019,38,31,-9.523809524,-13.88888889,54,25,-95.23809524,-138.8888889
4/16/2019,42,36,-2.325581395,24.13793103,38,31,-23.25581395,241.3793103
4/15/2019,43,29,-8.510638298,11.53846154,42,36,-85.10638298,115.3846154
4/14/2019,47,26,11.9047619,-10.34482759,43,29,119.047619,-103.4482759
4/13/2019,42,29,-17.64705882,7.407407407,47,26,-176.4705882,74.07407407
4/12/2019,51,27,10.86956522,-3.571428571,42,29,108.6956522,-35.71428571
4/11/2019,46,28,-11.53846154,21.73913043,51,27,-115.3846154,217.3913043
4/10/2019,52,23,0.1,-4.166666667,46,28,1,-41.66666667
4/9/2019,52,24,8.333333333,-7.692307692,52,23,83.33333333,-76.92307692
4/8/2019,48,26,-9.433962264,18.18181818,52,24,-94.33962264,181.8181818
4/7/2019,53,22,15.2173913,-18.51851852,48,26,152.173913,-185.1851852
4/6/2019,46,27,-16.36363636,3.846153846,53,22,-163.6363636,38.46153846
4/5/2019,55,26,17.0212766,-7.142857143,46,27,170.212766,-71.42857143
4/4/2019,47,28,4.444444444,-20,55,26,44.44444444,-200
4/3/2019,45,35,-30.76923077,-12.5,47,28,-307.6923077,-125
4/2/2019,65,40,47.72727273,60,45,35,477.2727273,600
4/1/2019,44,25,7.317073171,-26.47058824,65,40,73.17073171,-264.7058824
3/31/2019,41,34,7.894736842,13.33333333,44,25,78.94736842,133.3333333
3/30/2019,38,30,-29.62962963,15.38461538,41,34,-296.2962963,153.8461538
3/29/2019,54,26,20,-33.33333333,38,30,200,-333.3333333
3/28/2019,45,39,12.5,21.875,54,26,125,218.75
3/27/2019,40,32,11.11111111,-8.571428571,45,39,111.1111111,-85.71428571
3/26/2019,36,35,-29.41176471,-27.08333333,40,32,-294.1176471,-270.8333333
3/25/2019,51,48,4.081632653,108.6956522,36,35,40.81632653,1086.956522
3/24/2019,49,23,16.66666667,-32.35294118,51,48,166.6666667,-323.5294118
3/23/2019,42,34,31.25,17.24137931,49,23,312.5,172.4137931
3/22/2019,32,29,-31.91489362,-21.62162162,42,34,-319.1489362,-216.2162162
3/21/2019,47,37,0.1,32.14285714,32,29,1,321.4285714
3/20/2019,47,28,-4.081632653,21.73913043,47,37,-40.81632653,217.3913043
3/19/2019,49,23,25.64102564,4.545454545,47,28,256.4102564,45.45454545
3/18/2019,39,22,-2.5,-26.66666667,49,23,-25,-266.6666667
3/17/2019,40,30,-18.36734694,20,39,22,-183.6734694,200
3/16/2019,49,25,6.52173913,-16.66666667,40,30,65.2173913,-166.6666667
3/15/2019,46,30,31.42857143,-18.91891892,49,25,314.2857143,-189.1891892
3/14/2019,35,37,-23.91304348,105.5555556,46,30,-239.1304348,1055.555556
