date,cnyusdprice,cnyusdopen,cnyusdhigh,cnyusdlow
1-Oct-10,0.1495,0.1495,0.1495,0.1495
4-Oct-10,0.1494,0.1495,0.1495,0.1495
5-Oct-10,0.1494,0.1495,0.1495,0.1495
6-Oct-10,0.1494,0.1495,0.1495,0.1495
7-Oct-10,0.1494,0.1495,0.1495,0.1495
8-Oct-10,0.1499,0.1495,0.15,0.1494
11-Oct-10,0.1499,0.1499,0.1501,0.1498
12-Oct-10,0.1498,0.15,0.15,0.1498
13-Oct-10,0.1501,0.1499,0.1501,0.1499
14-Oct-10,0.1503,0.1501,0.1504,0.1501
15-Oct-10,0.1506,0.1504,0.1506,0.1504
18-Oct-10,0.1505,0.1506,0.1506,0.1504
19-Oct-10,0.1505,0.1505,0.1505,0.1504
20-Oct-10,0.1503,0.1505,0.1505,0.1501
21-Oct-10,0.1504,0.1504,0.1506,0.1502
22-Oct-10,0.1502,0.1504,0.1504,0.1501
25-Oct-10,0.1502,0.1502,0.1503,0.1502
26-Oct-10,0.1501,0.1502,0.1502,0.15
27-Oct-10,0.1497,0.1501,0.1501,0.1496
28-Oct-10,0.1495,0.1497,0.1497,0.1495
29-Oct-10,0.1499,0.1496,0.1499,0.1496
1-Nov-10,0.1494,0.15,0.15,0.1495
2-Nov-10,0.1497,0.1495,0.1498,0.1494
3-Nov-10,0.1498,0.1498,0.15,0.1498
4-Nov-10,0.1501,0.1499,0.1502,0.1495
5-Nov-10,0.1502,0.1502,0.1504,0.1501
8-Nov-10,0.1497,0.1503,0.1503,0.1497
9-Nov-10,0.1505,0.1498,0.1507,0.1496
10-Nov-10,0.1507,0.1505,0.1508,0.1505
11-Nov-10,0.1509,0.1508,0.1511,0.1507
12-Nov-10,0.1507,0.151,0.151,0.1505
15-Nov-10,0.1505,0.1508,0.1508,0.1505
16-Nov-10,0.1506,0.1506,0.1508,0.1504
17-Nov-10,0.1506,0.1507,0.1507,0.1504
18-Nov-10,0.1508,0.1506,0.1508,0.1505
19-Nov-10,0.1506,0.1508,0.1508,0.1506
22-Nov-10,0.1506,0.1506,0.1507,0.1506
23-Nov-10,0.1505,0.1506,0.1506,0.1504
24-Nov-10,0.1503,0.1506,0.1506,0.1503
25-Nov-10,0.1504,0.1503,0.1505,0.1503
26-Nov-10,0.15,0.1505,0.1505,0.15
29-Nov-10,0.1501,0.1499,0.1502,0.1498
30-Nov-10,0.15,0.1502,0.1504,0.1499
1-Dec-10,0.1501,0.15,0.1501,0.1499
2-Dec-10,0.1501,0.1501,0.1502,0.15
3-Dec-10,0.1501,0.1502,0.1502,0.1501
6-Dec-10,0.1504,0.1501,0.1505,0.1501
7-Dec-10,0.1505,0.1504,0.1505,0.1503
8-Dec-10,0.1501,0.1506,0.1506,0.15
9-Dec-10,0.1503,0.1502,0.1503,0.1501
10-Dec-10,0.1503,0.1503,0.1505,0.1502
13-Dec-10,0.15,0.1503,0.1503,0.1501
14-Dec-10,0.1502,0.1501,0.1504,0.1501
15-Dec-10,0.1503,0.1504,0.1504,0.1502
16-Dec-10,0.1501,0.1503,0.1503,0.15
17-Dec-10,0.1503,0.1501,0.1503,0.15
20-Dec-10,0.1498,0.1503,0.1503,0.1497
21-Dec-10,0.1502,0.1498,0.1503,0.1498
22-Dec-10,0.1504,0.1503,0.1506,0.1503
23-Dec-10,0.1504,0.1506,0.1507,0.1505
24-Dec-10,0.1509,0.1505,0.151,0.1505
27-Dec-10,0.1508,0.1509,0.151,0.1508
28-Dec-10,0.1509,0.1508,0.151,0.1508
29-Dec-10,0.151,0.151,0.1511,0.151
30-Dec-10,0.1515,0.1511,0.1516,0.1511
31-Dec-10,0.1517,0.1515,0.1518,0.1513
3-Jan-11,0.1518,0.1518,0.1518,0.1518
4-Jan-11,0.1514,0.1518,0.1518,0.1513
5-Jan-11,0.1511,0.1514,0.1513,0.1509
6-Jan-11,0.1509,0.151,0.1511,0.1509
7-Jan-11,0.1509,0.151,0.151,0.1508
10-Jan-11,0.1507,0.1509,0.1509,0.1507
11-Jan-11,0.1511,0.1508,0.1511,0.1507
12-Jan-11,0.1514,0.1511,0.1515,0.1511
