Date,Price,Open,High,Low,Vol,Change %
1-Oct-10,"6,211.34","6,244.06","6,293.09","6,187.22",125.51,-0.28%
4-Oct-10,"6,134.21","6,205.00","6,210.25","6,128.54",90.48,-1.24%
5-Oct-10,"6,215.83","6,132.12","6,233.45","6,115.87",106.59,1.33%
6-Oct-10,"6,270.73","6,248.81","6,289.56","6,242.52",111.93,0.88%
7-Oct-10,"6,276.25","6,278.61","6,321.79","6,233.14",97.56,0.09%
8-Oct-10,"6,291.67","6,269.48","6,295.09","6,239.43",124.53,0.25%
11-Oct-10,"6,309.51","6,308.43","6,325.31","6,289.36",79.12,0.28%
12-Oct-10,"6,304.57","6,257.03","6,316.77","6,228.39",99.63,-0.08%
13-Oct-10,"6,434.52","6,339.76","6,456.27","6,335.22",148.84,2.06%
14-Oct-10,"6,455.27","6,446.32","6,485.71","6,445.32",110.05,0.32%
15-Oct-10,"6,492.30","6,478.00","6,512.78","6,438.78",137.13,0.57%
18-Oct-10,"6,516.63","6,465.83","6,533.83","6,462.59",91.06,0.37%
19-Oct-10,"6,490.69","6,508.36","6,544.79","6,472.18",101.37,-0.40%
20-Oct-10,"6,524.55","6,470.30","6,527.85","6,461.48",95.16,0.52%
21-Oct-10,"6,611.01","6,514.99","6,621.84","6,504.66",95.69,1.33%
22-Oct-10,"6,605.84","6,594.90","6,623.94","6,586.40",67.47,-0.08%
25-Oct-10,"6,639.21","6,645.45","6,668.54","6,625.83",75.74,0.51%
26-Oct-10,"6,613.80","6,634.24","6,645.70","6,580.28",95.12,-0.38%
27-Oct-10,"6,568.00","6,591.24","6,629.13","6,553.25",117.91,-0.69%
28-Oct-10,"6,595.28","6,600.28","6,644.61","6,576.02",104.32,0.42%
29-Oct-10,"6,601.37","6,585.97","6,630.98","6,569.25",93.68,0.09%
1-Nov-10,"6,604.86","6,637.09","6,670.90","6,586.01",75.39,0.05%
2-Nov-10,"6,654.31","6,600.41","6,668.93","6,597.46",71.57,0.75%
3-Nov-10,"6,617.80","6,666.07","6,682.91","6,604.75",82.91,-0.55%
4-Nov-10,"6,734.69","6,677.78","6,757.29","6,676.42",130.04,1.77%
5-Nov-10,"6,754.20","6,743.56","6,775.17","6,712.47",111.69,0.29%
8-Nov-10,"6,750.50","6,746.44","6,759.41","6,728.35",98.82,-0.05%
9-Nov-10,"6,787.81","6,742.05","6,810.86","6,736.63",109.75,0.55%
10-Nov-10,"6,719.84","6,759.59","6,783.69","6,684.22",132.58,-1.00%
11-Nov-10,"6,723.41","6,747.80","6,750.39","6,700.47",107.48,0.05%
12-Nov-10,"6,734.61","6,650.92","6,758.59","6,617.97",117.49,0.17%
15-Nov-10,"6,790.17","6,705.13","6,812.96","6,679.69",95.23,0.82%
16-Nov-10,"6,663.24","6,751.13","6,772.01","6,663.15",131.98,-1.87%
17-Nov-10,"6,700.07","6,658.99","6,705.19","6,653.57",85.43,0.55%
18-Nov-10,"6,832.11","6,765.70","6,835.54","6,754.40",99.62,1.97%
19-Nov-10,"6,843.55","6,841.37","6,854.09","6,794.43",107.51,0.17%
22-Nov-10,"6,822.05","6,892.02","6,901.93","6,805.97",96.81,-0.31%
23-Nov-10,"6,705.00","6,791.75","6,827.83","6,705.00",115.85,-1.72%
24-Nov-10,"6,823.80","6,740.61","6,833.70","6,701.98",118.63,1.77%
25-Nov-10,"6,879.66","6,834.68","6,885.81","6,823.19",84.55,0.82%
26-Nov-10,"6,848.98","6,842.39","6,871.71","6,778.60",101.95,-0.45%
29-Nov-10,"6,697.97","6,867.77","6,907.61","6,697.97",123.91,-2.20%
30-Nov-10,"6,688.49","6,732.59","6,763.52","6,655.94",132.33,-0.14%
1-Dec-10,"6,866.63","6,748.36","6,868.81","6,736.69",121.57,2.66%
2-Dec-10,"6,957.61","6,895.77","6,958.69","6,840.65",130.56,1.32%
3-Dec-10,"6,947.72","6,947.31","6,977.91","6,914.50",103.22,-0.14%
6-Dec-10,"6,954.38","6,970.24","6,971.95","6,926.57",84.51,0.10%
7-Dec-10,"7,001.91","6,987.88","7,042.67","6,962.10",112.76,0.68%
8-Dec-10,"6,975.87","6,976.19","7,013.53","6,956.67",89.05,-0.37%
9-Dec-10,"6,964.16","7,017.99","7,021.31","6,947.90",141.06,-0.17%
10-Dec-10,"7,006.17","6,987.69","7,018.11","6,973.32",98.52,0.60%
13-Dec-10,"7,029.39","7,027.58","7,044.87","7,017.60",72.04,0.33%
14-Dec-10,"7,027.40","7,024.79","7,032.65","7,011.14",75.98,-0.03%
15-Dec-10,"7,016.37","7,007.49","7,029.74","6,964.13",93.68,-0.16%
16-Dec-10,"7,024.40","7,012.99","7,033.03","6,991.69",78.31,0.11%
17-Dec-10,"6,982.45","7,042.83","7,043.15","6,980.18",188.71,-0.60%
20-Dec-10,"7,018.60","7,000.38","7,068.56","6,992.67",73.9,0.52%
21-Dec-10,"7,077.99","7,045.25","7,087.84","7,042.98",66.7,0.85%
22-Dec-10,"7,067.92","7,079.22","7,084.10","7,067.71",62.44,-0.14%
23-Dec-10,"7,057.69","7,083.08","7,083.08","7,042.58",42.13,-0.14%
27-Dec-10,"6,970.73","7,055.32","7,056.34","6,943.05",44.52,-1.23%
28-Dec-10,"6,972.10","6,984.85","6,990.81","6,957.65",32.27,0.02%
29-Dec-10,"6,995.47","6,989.54","7,008.31","6,981.79",39.09,0.34%
30-Dec-10,"6,914.19","6,996.56","7,008.12","6,897.22",43.68,-1.16%
3-Jan-11,"6,989.74","6,973.39","7,026.62","6,969.83",61.89,1.09%
4-Jan-11,"6,975.35","6,979.68","7,025.86","6,952.02",87.67,-0.21%
5-Jan-11,"6,939.82","6,966.08","6,967.24","6,842.90",117.14,-0.51%
6-Jan-11,"6,981.39","6,949.48","7,047.59","6,949.07",91.24,0.60%
7-Jan-11,"6,947.84","6,991.55","7,010.89","6,939.88",92.63,-0.48%
10-Jan-11,"6,857.06","6,920.36","6,941.39","6,835.74",93.17,-1.31%
11-Jan-11,"6,941.57","6,879.39","6,951.19","6,860.52",115.26,1.23%
12-Jan-11,"7,068.78","6,958.84","7,070.40","6,958.50",122.56,1.83%
13-Jan-11,"7,075.11","7,075.54","7,084.07","7,036.09",160.36,0.09%
14-Jan-11,"7,075.70","7,055.42","7,083.02","7,015.35",125.09,0.01%
17-Jan-11,"7,078.06","7,072.75","7,087.43","7,055.83",79.25,0.03%
18-Jan-11,"7,143.45","7,100.48","7,156.25","7,099.12",121.73,0.92%
19-Jan-11,"7,082.76","7,163.37","7,165.00","7,077.23",110,-0.85%
20-Jan-11,"7,024.27","7,074.89","7,084.24","7,008.62",154.43,-0.83%
21-Jan-11,"7,062.42","7,047.70","7,122.89","7,023.69",173.92,0.54%
24-Jan-11,"7,067.77","7,080.78","7,089.62","7,000.41",121.57,0.08%
25-Jan-11,"7,059.01","7,096.84","7,102.08","7,043.64",122.87,-0.12%
26-Jan-11,"7,127.35","7,092.89","7,160.86","7,087.25",109.51,0.97%
27-Jan-11,"7,155.58","7,120.64","7,180.15","7,114.35",113.48,0.40%
28-Jan-11,"7,102.80","7,155.47","7,177.23","7,102.80",96.02,-0.74%
31-Jan-11,"7,077.48","7,094.56","7,107.37","7,033.09",93.02,-0.36%
1-Feb-11,"7,184.27","7,133.34","7,190.75","7,105.31",117.37,1.51%
2-Feb-11,"7,183.67","7,202.62","7,222.13","7,160.36",114.24,-0.01%
3-Feb-11,"7,193.68","7,175.75","7,198.98","7,144.08",105.09,0.14%
4-Feb-11,"7,216.21","7,216.66","7,226.64","7,186.24",94.08,0.31%
7-Feb-11,"7,283.62","7,222.05","7,287.66","7,214.05",93.21,0.93%
8-Feb-11,"7,323.24","7,274.17","7,325.03","7,272.80",98.88,0.54%
9-Feb-11,"7,320.90","7,319.12","7,350.78","7,310.44",81.82,-0.03%
10-Feb-11,"7,340.28","7,322.62","7,340.87","7,269.53",105.38,0.26%
11-Feb-11,"7,371.20","7,320.07","7,390.48","7,283.87",96.1,0.42%
14-Feb-11,"7,396.63","7,403.83","7,424.36","7,378.41",69.64,0.34%
15-Feb-11,"7,400.04","7,397.68","7,420.69","7,376.24",101.59,0.05%
16-Feb-11,"7,414.30","7,414.23","7,438.42","7,399.82",122.45,0.19%
17-Feb-11,"7,405.51","7,429.00","7,434.93","7,364.04",112.23,-0.12%
18-Feb-11,"7,426.81","7,422.11","7,427.30","7,379.94",122.19,0.29%
21-Feb-11,"7,321.81","7,412.06","7,441.82","7,310.69",100.85,-1.41%
22-Feb-11,"7,318.35","7,293.11","7,350.95","7,259.67",121.3,-0.05%
23-Feb-11,"7,194.60","7,295.12","7,310.73","7,183.30",118.02,-1.69%
24-Feb-11,"7,130.50","7,134.70","7,156.05","7,093.91",137.57,-0.89%
25-Feb-11,"7,185.17","7,139.88","7,194.02","7,130.15",114.08,0.77%
28-Feb-11,"7,272.32","7,173.59","7,305.49","7,148.94",101.48,1.21%
1-Mar-11,"7,223.30","7,309.80","7,356.33","7,193.78",112.18,-0.67%
2-Mar-11,"7,181.12","7,169.04","7,202.58","7,122.69",111.14,-0.58%
3-Mar-11,"7,225.96","7,225.23","7,294.04","7,191.14",95.32,0.62%
4-Mar-11,"7,178.90","7,262.54","7,311.25","7,157.12",97.46,-0.65%
7-Mar-11,"7,161.93","7,137.81","7,270.81","7,127.31",86.67,-0.24%
8-Mar-11,"7,164.75","7,211.06","7,222.16","7,072.47",143.92,0.04%
9-Mar-11,"7,131.80","7,177.55","7,217.54","7,109.26",129.98,-0.46%
10-Mar-11,"7,063.09","7,078.69","7,109.71","7,021.95",131.97,-0.96%
11-Mar-11,"6,981.49","7,002.26","7,014.02","6,963.31",141.42,-1.16%
14-Mar-11,"6,866.63","6,896.31","6,946.44","6,847.94",170.81,-1.65%
15-Mar-11,"6,647.66","6,668.99","6,714.83","6,483.39",284.44,-3.19%
16-Mar-11,"6,513.84","6,696.31","6,733.03","6,501.85",202.7,-2.01%
17-Mar-11,"6,656.88","6,557.85","6,692.83","6,517.18",146.28,2.20%
18-Mar-11,"6,664.40","6,715.17","6,761.31","6,655.69",252.61,0.11%
21-Mar-11,"6,816.12","6,782.30","6,829.75","6,781.30",218.42,2.28%
22-Mar-11,"6,780.97","6,823.08","6,826.03","6,765.06",119.67,-0.52%
23-Mar-11,"6,804.45","6,749.18","6,807.38","6,720.02",95.71,0.35%
24-Mar-11,"6,933.58","6,798.08","6,941.72","6,787.04",103.54,1.90%
25-Mar-11,"6,946.36","6,971.77","6,985.25","6,920.57",80.87,0.18%
28-Mar-11,"6,938.63","6,931.86","6,981.19","6,915.58",72.64,-0.11%
29-Mar-11,"6,934.44","6,952.51","6,960.16","6,867.42",93.21,-0.06%
30-Mar-11,"7,057.15","7,010.77","7,065.27","7,002.77",100.54,1.77%
31-Mar-11,"7,041.31","7,068.29","7,079.76","7,041.31",96.95,-0.22%
1-Apr-11,"7,179.81","7,086.56","7,192.38","7,086.56",103.28,1.97%
4-Apr-11,"7,175.33","7,178.59","7,200.26","7,168.24",79.27,-0.06%
5-Apr-11,"7,175.31","7,174.69","7,186.35","7,129.41",104.32,0.00%
6-Apr-11,"7,215.11","7,197.37","7,242.69","7,157.68",153.82,0.55%
7-Apr-11,"7,178.78","7,212.46","7,241.09","7,175.35",125.93,-0.50%
8-Apr-11,"7,217.02","7,226.79","7,232.87","7,195.44",117.23,0.53%
11-Apr-11,"7,204.86","7,215.34","7,224.74","7,157.33",108.14,-0.17%
12-Apr-11,"7,102.91","7,131.44","7,177.74","7,089.17",147.6,-1.42%
13-Apr-11,"7,177.97","7,135.21","7,201.12","7,122.51",182.46,1.06%
14-Apr-11,"7,146.56","7,160.99","7,184.93","7,099.66",134.22,-0.44%
15-Apr-11,"7,178.29","7,166.98","7,193.38","7,144.96",187.05,0.44%
18-Apr-11,"7,026.85","7,165.99","7,174.75","6,994.56",163.93,-2.11%
19-Apr-11,"7,039.31","7,050.85","7,078.79","7,027.04",130.65,0.18%
20-Apr-11,"7,249.19","7,137.10","7,261.26","7,136.74",142.61,2.98%
21-Apr-11,"7,295.49","7,294.58","7,316.53","7,280.10",115.55,0.64%
26-Apr-11,"7,356.51","7,288.77","7,359.97","7,278.52",83.58,0.84%
27-Apr-11,"7,404.95","7,374.11","7,428.72","7,361.24",107.73,0.66%
28-Apr-11,"7,475.22","7,450.57","7,480.33","7,426.62",138.73,0.95%
29-Apr-11,"7,514.46","7,475.00","7,514.69","7,461.53",91.92,0.52%
2-May-11,"7,527.64","7,570.86","7,600.41","7,527.64",92.28,0.18%
3-May-11,"7,500.70","7,518.60","7,523.68","7,446.83",142.24,-0.36%
4-May-11,"7,373.93","7,475.18","7,534.26","7,355.40",182.27,-1.69%
5-May-11,"7,376.96","7,416.38","7,423.96","7,291.39",194.78,0.04%
6-May-11,"7,492.25","7,391.04","7,501.63","7,362.55",175.8,1.56%
9-May-11,"7,410.52","7,461.35","7,489.09","7,379.97",121.92,-1.09%
10-May-11,"7,501.52","7,446.44","7,533.86","7,423.33",107.86,1.23%
11-May-11,"7,495.05","7,526.56","7,566.41","7,469.63",118.54,-0.09%
12-May-11,"7,443.95","7,438.02","7,443.95","7,356.76",154.68,-0.68%
13-May-11,"7,403.31","7,486.20","7,511.09","7,391.14",136.91,-0.55%
16-May-11,"7,387.54","7,348.12","7,402.52","7,284.96",154.71,-0.21%
17-May-11,"7,256.65","7,346.81","7,368.98","7,253.89",117.67,-1.77%
18-May-11,"7,303.53","7,325.85","7,340.54","7,261.29",94.21,0.65%
19-May-11,"7,358.23","7,360.47","7,415.65","7,316.74",124.05,0.75%
20-May-11,"7,266.82","7,372.18","7,410.31","7,228.13",286.35,-1.24%
23-May-11,"7,121.52","7,158.08","7,166.15","7,105.20",185.38,-2.00%
24-May-11,"7,150.66","7,129.94","7,202.21","7,128.04",192.41,0.41%
25-May-11,"7,170.94","7,079.25","7,183.80","7,071.42",240.86,0.28%
26-May-11,"7,114.09","7,202.72","7,217.24","7,087.32",225.57,-0.79%
27-May-11,"7,163.47","7,205.13","7,208.48","7,115.48",190.77,0.69%
30-May-11,"7,160.30","7,165.00","7,204.16","7,146.98",98.88,-0.04%
31-May-11,"7,293.69","7,240.12","7,319.69","7,238.77",216.65,1.86%
1-Jun-11,"7,217.43","7,310.56","7,314.66","7,193.89",228.39,-1.05%
