date,stoxxopen,stoxxclose,stoxxhigh,stoxxlow
1-Oct-10,2747.93,2732.91,2776.75,2719.71
4-Oct-10,2732.12,2701.02,2732.94,2695.18
5-Oct-10,2699.63,2758.56,2764.76,2690.88
6-Oct-10,2768.47,2780,2793.64,2768.47
7-Oct-10,2780.71,2786.88,2809,2757.7
8-Oct-10,2782.04,2785.43,2794.11,2765.81
11-Oct-10,2790.64,2789.72,2797.7,2781.98
12-Oct-10,2778.22,2775.75,2780.09,2745.63
13-Oct-10,2784.6,2840.55,2844.06,2784.6
14-Oct-10,2843.15,2836.11,2859.96,2834.34
15-Oct-10,2840.64,2841.65,2852.87,2819.06
18-Oct-10,2830.03,2850.72,2856.41,2820.58
19-Oct-10,2846.63,2837.33,2867.63,2827.57
20-Oct-10,2828.06,2851.52,2852.99,2822.34
21-Oct-10,2848.23,2882.29,2890.54,2837.57
22-Oct-10,2873.55,2873.74,2887.08,2864.73
25-Oct-10,2886.29,2871.48,2891.52,2864.17
26-Oct-10,2865.54,2856.31,2869.74,2836.43
27-Oct-10,2845.56,2829.42,2865.35,2825.66
28-Oct-10,2841.38,2845.53,2863.44,2836.21
29-Oct-10,2840.12,2844.99,2860.62,2825.88
1-Nov-10,2861.56,2836.73,2874.28,2825.42
2-Nov-10,2830.33,2861.01,2866.14,2827.4
3-Nov-10,2866.12,2830.43,2872.12,2824.28
4-Nov-10,2848.68,2884.21,2896.52,2848.68
5-Nov-10,2891.83,2875.94,2895.26,2857.95
8-Nov-10,2871.74,2867.96,2871.74,2852.58
9-Nov-10,2861.63,2890.64,2902.8,2859.48
10-Nov-10,2881.33,2845.93,2883.99,2832.15
11-Nov-10,2851.31,2831.22,2856.44,2818.45
12-Nov-10,2804.35,2822.43,2837.49,2765.65
15-Nov-10,2814.45,2848.45,2856.63,2796.43
16-Nov-10,2835.42,2781.77,2835.42,2781.77
17-Nov-10,2778.29,2802.7,2807.62,2775.84
18-Nov-10,2818.3,2855.23,2859.45,2818.3
19-Nov-10,2855.35,2845.75,2857.59,2820.43
22-Nov-10,2845.92,2811.43,2871.17,2804.6
23-Nov-10,2797.03,2739.37,2799.96,2739.37
24-Nov-10,2746.7,2758.02,2768.71,2722.9
25-Nov-10,2761.64,2765.05,2768.02,2742.36
26-Nov-10,2747.69,2736.96,2753.14,2707.91
29-Nov-10,2748.94,2669.96,2772.36,2669.96
30-Nov-10,2672.96,2650.99,2684.48,2635.08
1-Dec-10,2665.66,2721.87,2727.35,2665.66
2-Dec-10,2732.17,2781.39,2785.96,2704.76
3-Dec-10,2779.02,2782.39,2796.03,2759.12
6-Dec-10,2784.13,2769.96,2789.54,2756.22
7-Dec-10,2774.13,2802.74,2823.19,2771.14
8-Dec-10,2794.07,2818.95,2835.36,2782.39
9-Dec-10,2835.19,2840.71,2846.87,2825.88
10-Dec-10,2846.65,2839.53,2850.17,2832.89
13-Dec-10,2847.83,2855.37,2867.23,2841.43
14-Dec-10,2856.9,2861.67,2862.3,2842.57
15-Dec-10,2854.58,2841.99,2854.58,2826.1
16-Dec-10,2839.78,2845.78,2849.93,2823.91
17-Dec-10,2851.3,2821.77,2853.99,2818.9
20-Dec-10,2825.15,2839.22,2863.37,2821.47
21-Dec-10,2849.23,2876.99,2882.76,2849.23
22-Dec-10,2876.24,2869.63,2882.88,2869.63
23-Dec-10,2873.91,2864.52,2875.48,2854.01
27-Dec-10,2859.28,2826.51,2862.32,2815.56
28-Dec-10,2831.93,2824.3,2840.56,2820.84
29-Dec-10,2832.06,2841.23,2851.1,2829.85
30-Dec-10,2842.93,2807.04,2846,2802.37
3-Jan-11,2807.76,2839.43,2848.49,2807.76
4-Jan-11,2840.41,2844.17,2868.31,2828.31
5-Jan-11,2841.82,2833.74,2841.82,2788.1
6-Jan-11,2836.51,2836.23,2867.23,2831.54
7-Jan-11,2829.21,2808.25,2839.84,2802.37
10-Jan-11,2800.3,2760.88,2800.3,2756.49
11-Jan-11,2769.62,2796.6,2801.34,2763.08
12-Jan-11,2801.46,2879.11,2879.74,2801.46
13-Jan-11,2880.72,2915.62,2916.04,2880.72
14-Jan-11,2905.96,2920.4,2925.18,2890.27
17-Jan-11,2920.7,2910.63,2922.09,2902.57
18-Jan-11,2916.84,2945.62,2949.59,2916.84
19-Jan-11,2949.54,2923.76,2952.94,2922.74
20-Jan-11,2919.75,2927.42,2943.42,2911.5
21-Jan-11,2934.59,2970.56,2999.77,2934.59
24-Jan-11,2974.95,2979.06,2988.33,2953.66
25-Jan-11,2986.53,2957.78,2994.4,2952.98
26-Jan-11,2971.11,2967.78,2990.52,2964.54
27-Jan-11,2963.31,2989.75,3004.27,2952.42
28-Jan-11,2984.59,2954.13,3003.49,2954.13
31-Jan-11,2951.63,2953.63,2969.16,2917.98
1-Feb-11,2967.26,3006.81,3010.03,2960.66
2-Feb-11,3010.52,3012.7,3022.61,2996.57
3-Feb-11,3008.84,2995.49,3009.82,2976.06
4-Feb-11,3002.55,3003.19,3012.3,2987.42
7-Feb-11,3008.02,3031.18,3041.71,3004.88
8-Feb-11,3029.83,3042.5,3044.01,3019.09
9-Feb-11,3037.01,3031.62,3050.6,3028.87
10-Feb-11,3026.06,3025.68,3026.17,2990.44
11-Feb-11,3016.04,3024.37,3038.78,2986
14-Feb-11,3034.75,3018.38,3045.09,3011.55
15-Feb-11,3015.31,3030.46,3038.8,3009.79
16-Feb-11,3035.33,3061.92,3074,3035.33
17-Feb-11,3066.39,3064.54,3072.37,3043.66
18-Feb-11,3069.28,3068,3077.24,3046.15
21-Feb-11,3065.06,3012.34,3065.73,3005.41
22-Feb-11,3003.79,2983.33,3004.27,2971.49
23-Feb-11,2979.7,2954.92,2992.4,2950.27
24-Feb-11,2944.3,2949.13,2957.94,2930.06
25-Feb-11,2956.77,2985.02,2994.22,2952.79
28-Feb-11,2983.22,3013.09,3030.65,2966.09
1-Mar-11,3021.45,2983.27,3041.39,2971.86
2-Mar-11,2970.11,2958.8,2974.15,2940.87
3-Mar-11,2968.65,2969.24,3006.24,2954.82
4-Mar-11,2974.03,2949.18,2998.16,2942.62
7-Mar-11,2942.41,2931.42,2976.07,2925.74
8-Mar-11,2941.48,2945.42,2953.04,2909.48
9-Mar-11,2949.05,2935.11,2963.02,2927.29
10-Mar-11,2914.17,2909.73,2921.3,2889.1
11-Mar-11,2895.55,2883.84,2898.04,2873.06
14-Mar-11,2883.84,2852.11,2895.7,2844.56
15-Mar-11,2821.69,2784.2,2821.69,2726.91
16-Mar-11,2794.25,2721.24,2805.03,2717.74
17-Mar-11,2739.28,2786.16,2798.7,2727.84
18-Mar-11,2796.71,2792.61,2835.43,2788.32
21-Mar-11,2819.7,2860.81,2860.82,2819.49
22-Mar-11,2862.65,2854.79,2882.33,2845.26
23-Mar-11,2847.64,2866.23,2866.93,2835.51
24-Mar-11,2861.13,2909.78,2911.75,2848.26
25-Mar-11,2917.28,2911.33,2926.02,2903.29
28-Mar-11,2908.53,2914.76,2925.42,2900.79
29-Mar-11,2919.4,2910.93,2921.96,2884.92
30-Mar-11,2929.06,2936.44,2941.09,2925.3
31-Mar-11,2938.82,2910.91,2944.75,2910.91
1-Apr-11,2923.02,2962.92,2964.36,2922.96
4-Apr-11,2958.08,2955.84,2968.04,2951.56
5-Apr-11,2955.36,2950.96,2955.86,2932.75
