date,eurusdprice,eurusdopen,eurusdhigh,eurusdlow
1-Oct-10,1.3792,1.3632,1.3796,1.362
4-Oct-10,1.3682,1.3792,1.3793,1.3666
5-Oct-10,1.3834,1.3679,1.3861,1.3636
6-Oct-10,1.3937,1.3836,1.3948,1.3798
7-Oct-10,1.3927,1.3929,1.4028,1.3855
8-Oct-10,1.3943,1.3921,1.3986,1.3836
11-Oct-10,1.3874,1.3994,1.4013,1.3866
12-Oct-10,1.3925,1.3874,1.3933,1.3773
13-Oct-10,1.3963,1.3915,1.4002,1.391
14-Oct-10,1.4081,1.3958,1.4124,1.3955
15-Oct-10,1.3979,1.4078,1.416,1.3938
18-Oct-10,1.3948,1.3977,1.4,1.3832
19-Oct-10,1.3735,1.3951,1.4006,1.3714
20-Oct-10,1.3967,1.3731,1.3994,1.3699
21-Oct-10,1.392,1.396,1.4051,1.387
22-Oct-10,1.3952,1.3924,1.3976,1.3858
25-Oct-10,1.3966,1.3958,1.4083,1.3935
26-Oct-10,1.3861,1.3966,1.3984,1.3825
27-Oct-10,1.3769,1.3859,1.3878,1.3733
28-Oct-10,1.3932,1.3761,1.3946,1.3757
29-Oct-10,1.395,1.3927,1.3954,1.3806
1-Nov-10,1.3891,1.3963,1.4013,1.3862
2-Nov-10,1.404,1.3897,1.4061,1.3881
3-Nov-10,1.4145,1.4038,1.4177,1.3991
4-Nov-10,1.42,1.4139,1.4284,1.4103
5-Nov-10,1.4034,1.4216,1.425,1.4025
8-Nov-10,1.3921,1.4051,1.4085,1.3886
9-Nov-10,1.3779,1.392,1.3975,1.375
10-Nov-10,1.3784,1.3777,1.3828,1.3672
11-Nov-10,1.3658,1.3784,1.3823,1.3637
12-Nov-10,1.3693,1.3666,1.3779,1.3573
15-Nov-10,1.3586,1.3712,1.3752,1.3565
16-Nov-10,1.3493,1.3587,1.3655,1.3447
17-Nov-10,1.3519,1.3487,1.3566,1.3458
18-Nov-10,1.3645,1.3527,1.3668,1.3525
19-Nov-10,1.3687,1.3647,1.3733,1.3609
22-Nov-10,1.3626,1.3714,1.3786,1.3575
23-Nov-10,1.3373,1.3619,1.3634,1.3361
24-Nov-10,1.3332,1.3367,1.3424,1.3284
25-Nov-10,1.3363,1.3333,1.3388,1.3287
26-Nov-10,1.3243,1.3355,1.3368,1.3199
29-Nov-10,1.3121,1.3287,1.3304,1.3064
30-Nov-10,1.298,1.3124,1.3152,1.2967
1-Dec-10,1.3143,1.2985,1.3181,1.297
2-Dec-10,1.3227,1.3137,1.325,1.3059
3-Dec-10,1.3415,1.3222,1.3418,1.3192
6-Dec-10,1.3306,1.3382,1.3422,1.3243
7-Dec-10,1.3264,1.3304,1.3401,1.326
8-Dec-10,1.3259,1.3263,1.3283,1.318
9-Dec-10,1.3245,1.3264,1.3325,1.3165
10-Dec-10,1.3234,1.3237,1.3283,1.3178
13-Dec-10,1.3391,1.3207,1.3435,1.3182
14-Dec-10,1.3384,1.3388,1.3498,1.3361
15-Dec-10,1.3213,1.3383,1.3384,1.3209
16-Dec-10,1.3239,1.3213,1.3268,1.318
17-Dec-10,1.3182,1.3239,1.3361,1.3133
20-Dec-10,1.3121,1.3182,1.319,1.3095
21-Dec-10,1.3096,1.3127,1.3203,1.3072
22-Dec-10,1.31,1.3095,1.3182,1.3076
23-Dec-10,1.312,1.3096,1.3154,1.3054
24-Dec-10,1.3118,1.3117,1.3151,1.3095
27-Dec-10,1.3161,1.3115,1.3171,1.3072
28-Dec-10,1.312,1.3166,1.3277,1.3094
29-Dec-10,1.3224,1.3116,1.3239,1.3082
30-Dec-10,1.3283,1.3225,1.3316,1.3212
31-Dec-10,1.3379,1.329,1.3427,1.3283
3-Jan-11,1.3354,1.3348,1.3397,1.3251
4-Jan-11,1.3304,1.3358,1.3436,1.3291
5-Jan-11,1.3152,1.3304,1.3325,1.3123
6-Jan-11,1.3001,1.3146,1.3171,1.2995
7-Jan-11,1.2919,1.3005,1.3023,1.2906
10-Jan-11,1.2944,1.2883,1.2967,1.2874
11-Jan-11,1.2978,1.295,1.2995,1.2905
12-Jan-11,1.3137,1.2972,1.3146,1.2961
13-Jan-11,1.3354,1.3129,1.3384,1.3087
14-Jan-11,1.3377,1.3363,1.3458,1.3313
17-Jan-11,1.3294,1.3383,1.3389,1.3245
18-Jan-11,1.3381,1.3292,1.3467,1.3252
19-Jan-11,1.3469,1.3389,1.3541,1.3369
20-Jan-11,1.3478,1.3476,1.3524,1.3395
21-Jan-11,1.3618,1.3475,1.3629,1.3448
24-Jan-11,1.3643,1.3638,1.3687,1.3537
25-Jan-11,1.369,1.3638,1.3704,1.3571
26-Jan-11,1.3698,1.3686,1.3722,1.3642
27-Jan-11,1.3727,1.371,1.376,1.3636
28-Jan-11,1.3613,1.3733,1.3746,1.358
31-Jan-11,1.3686,1.3599,1.374,1.3568
1-Feb-11,1.3834,1.3685,1.3845,1.3685
2-Feb-11,1.3805,1.383,1.3863,1.3767
3-Feb-11,1.3632,1.3813,1.3828,1.3611
4-Feb-11,1.3586,1.3639,1.3679,1.3542
7-Feb-11,1.3588,1.3563,1.3628,1.3508
8-Feb-11,1.3634,1.3582,1.369,1.3571
9-Feb-11,1.3731,1.3625,1.3745,1.3607
10-Feb-11,1.3595,1.3729,1.3737,1.3577
11-Feb-11,1.3549,1.3599,1.3624,1.3498
14-Feb-11,1.3486,1.351,1.3562,1.3429
15-Feb-11,1.349,1.3488,1.3553,1.3459
16-Feb-11,1.3568,1.3488,1.3591,1.3461
17-Feb-11,1.3602,1.3568,1.362,1.3534
18-Feb-11,1.3697,1.3609,1.3718,1.3548
21-Feb-11,1.3677,1.3703,1.3719,1.3646
22-Feb-11,1.3654,1.3677,1.3704,1.3525
23-Feb-11,1.3747,1.3659,1.3788,1.3646
24-Feb-11,1.3804,1.3747,1.3821,1.3702
25-Feb-11,1.3751,1.3797,1.3838,1.3722
28-Feb-11,1.3802,1.3757,1.3856,1.371
1-Mar-11,1.3776,1.3803,1.3855,1.3762
2-Mar-11,1.3864,1.3775,1.3889,1.3742
3-Mar-11,1.3966,1.3868,1.3974,1.3833
4-Mar-11,1.3985,1.3968,1.4009,1.3939
7-Mar-11,1.3973,1.3996,1.4038,1.3952
8-Mar-11,1.3904,1.3972,1.3994,1.3861
9-Mar-11,1.3908,1.3904,1.3943,1.3854
10-Mar-11,1.3794,1.3906,1.3927,1.3775
11-Mar-11,1.391,1.3798,1.3916,1.3752
14-Mar-11,1.399,1.3962,1.4003,1.3902
15-Mar-11,1.3996,1.3986,1.4013,1.3853
16-Mar-11,1.3903,1.3998,1.4002,1.3865
17-Mar-11,1.4022,1.3906,1.4053,1.3869
18-Mar-11,1.4179,1.4017,1.4187,1.3981
21-Mar-11,1.4227,1.4182,1.4241,1.4138
22-Mar-11,1.4202,1.4219,1.4249,1.4173
23-Mar-11,1.4083,1.4198,1.4217,1.4078
