Date,Price,Open,High,Low,Vol,Change %
1-Oct-10,23.32,23.13,23.32,22.97,679.12,2.37%
4-Oct-10,23.32,23.39,23.54,23.21,636.97,0.00%
5-Oct-10,23.63,23.5,23.7,23.39,525.81,1.33%
6-Oct-10,23.77,23.64,24.03,23.55,751.5,0.59%
7-Oct-10,23.23,24,24.02,23.12,931.48,-2.27%
8-Oct-10,23.69,23.32,23.75,23.3,386.94,1.98%
11-Oct-10,23.42,23.5,23.62,23.39,214.81,-1.14%
12-Oct-10,23.35,23.47,23.5,23.15,417.71,-0.30%
13-Oct-10,23.69,23.62,23.82,23.58,297.61,1.46%
14-Oct-10,23.6,23.66,23.94,23.47,318.2,-0.38%
15-Oct-10,23.23,23.59,23.64,23.03,512.66,-1.57%
18-Oct-10,23.75,23.29,23.77,23.23,373.35,2.24%
19-Oct-10,22.64,23.05,23.24,22.59,685.32,-4.67%
20-Oct-10,23.29,22.68,23.35,22.68,325.73,2.87%
21-Oct-10,22.8,23.16,23.33,22.64,398.02,-2.10%
22-Oct-10,23.21,22.98,23.22,22.79,213.31,1.80%
25-Oct-10,23.29,23.48,23.55,23.05,294.72,0.34%
26-Oct-10,23.36,23.22,23.43,23.17,223.97,0.30%
27-Oct-10,23.19,23.11,23.21,22.75,398.49,-0.73%
28-Oct-10,23.17,23.34,23.35,23.07,184.78,-0.09%
29-Oct-10,23.02,23.1,23.15,22.77,196.89,-0.65%
1-Nov-10,23.45,23.66,23.72,23.39,453.3,1.87%
2-Nov-10,23.75,23.75,23.87,23.64,406.21,1.28%
3-Nov-10,24.08,23.88,24.18,23.65,1.53,1.39%
4-Nov-10,24.6,24.47,24.63,24.33,1.12,2.16%
5-Nov-10,24.7,24.53,24.71,24.38,447.88,0.41%
8-Nov-10,24.66,24.6,24.71,24.37,468.79,-0.16%
9-Nov-10,24.35,24.84,24.84,24.22,565.1,-1.26%
10-Nov-10,25,24.67,25,24.55,624.76,2.67%
11-Nov-10,24.86,24.92,24.98,24.81,387.3,-0.56%
