Date,Price,Open,High,Low,Vol,Change %
1-Oct-10,45.43,45.25,45.5,45.1,69.69,1.47%
4-Oct-10,45.29,45.4,45.51,45.08,49.86,-0.31%
5-Oct-10,46.11,45.63,46.2,45.57,76.62,1.81%
6-Oct-10,46.09,46.1,46.23,46,50.34,-0.04%
7-Oct-10,45.68,46.19,46.2,45.45,49.22,-0.89%
8-Oct-10,46.23,45.65,46.3,45.55,54,1.20%
11-Oct-10,46.2,46.15,46.29,46.03,32.41,-0.06%
12-Oct-10,46.01,45.79,46.11,45.53,63.62,-0.41%
13-Oct-10,46.855,46.54,47.01,46.53,69.19,1.84%
14-Oct-10,46.775,46.82,46.99,46.54,50.76,-0.17%
15-Oct-10,46.72,47.02,47.03,46.38,83.97,-0.12%
18-Oct-10,46.74,46.36,46.8,46.285,51.9,0.04%
19-Oct-10,45.26,45.68,45.83,45.08,90.1,-3.17%
20-Oct-10,45.98,45.64,46.28,45.6,62.29,1.59%
21-Oct-10,45.98,46.24,46.5,45.49,85.42,0.00%
22-Oct-10,46.03,46.17,46.21,45.8769,42.84,0.11%
25-Oct-10,46.53,46.59,46.89,46.5,53.95,1.09%
26-Oct-10,46.49,46.23,46.56,46.09,36.72,-0.09%
27-Oct-10,45.7,45.83,45.83,45.27,70.44,-1.70%
28-Oct-10,45.99,46.12,46.16,45.75,45.93,0.63%
29-Oct-10,46.12,45.91,46.13,45.83,38.06,0.28%
1-Nov-10,46.63,46.59,46.87,46.38,47.37,1.11%
2-Nov-10,47.205,47.05,47.25,46.95,48.36,1.23%
3-Nov-10,47.5,47.32,47.53,46.74,94.13,0.62%
4-Nov-10,48.58,48.22,48.58,48.17,83.57,2.27%
5-Nov-10,48.49,48.33,48.6,48.29,53.78,-0.19%
8-Nov-10,48.295,48.1099,48.33,47.99,37.11,-0.40%
9-Nov-10,47.68,48.53,48.62,47.52,55.35,-1.27%
10-Nov-10,48.03,47.94,48.11,47.3701,66.3,0.73%
11-Nov-10,47.56,47.56,47.6,47.3,48.41,-0.98%
12-Nov-10,46.41,46.89,47.13,46.22,88.81,-2.42%
15-Nov-10,46.39,46.64,46.88,46.36,48.59,-0.04%
16-Nov-10,45.1675,45.91,45.96,45.02,136.59,-2.64%
17-Nov-10,45.4,45.32,45.64,45.23,80.35,0.51%
18-Nov-10,46.48,46.27,46.57,46.24,77.99,2.38%
19-Nov-10,46.51,46.26,46.55,45.98,48.18,0.06%
22-Nov-10,46.37,46.27,46.58,45.83,46.79,-0.30%
23-Nov-10,44.9,45.15,45.24,44.8,86.77,-3.17%
24-Nov-10,45.935,45.63,45.955,45.57,63.29,2.31%
26-Nov-10,44.95,45.015,45.25,44.92,60.39,-2.14%
29-Nov-10,45.15,44.96,45.23,44.51,80.43,0.44%
30-Nov-10,44.78,44.62,45.15,44.53,78.84,-0.82%
1-Dec-10,46.065,45.9,46.16,45.75,81.89,2.87%
2-Dec-10,46.97,46.21,46.982,46.19,72.6,1.96%
3-Dec-10,47.14,46.57,47.21,46.57,44.69,0.36%
6-Dec-10,47.06,46.87,47.13,46.83,44.99,-0.17%
7-Dec-10,46.84,47.59,47.61,46.83,64.41,-0.47%
8-Dec-10,46.54,46.75,46.87,46.28,48.92,-0.64%
9-Dec-10,46.385,46.72,46.76,46.25,63.13,-0.33%
10-Dec-10,46.59,46.41,46.59,46.245,44.84,0.44%
13-Dec-10,46.89,46.87,47.12,46.74,49.18,0.64%
14-Dec-10,46.96,46.93,47.14,46.81,53.61,0.15%
15-Dec-10,46.2,46.69,46.76,46.15,69.04,-1.62%
16-Dec-10,46.33,46.24,46.39,46.02,55.44,0.28%
