date,russellprice,russellopen,russellhigh,russelllow
1-Oct-10,679.29,681.7,682.8,672.8
4-Oct-10,670.2,677.7,681.3,665.2
5-Oct-10,689.1,677.3,690.5,673
6-Oct-10,685,688,690.7,681
7-Oct-10,683.3,689.2,689.6,678
8-Oct-10,692.5,683.9,695.5,680.3
11-Oct-10,692.1,692.2,697.3,690.3
12-Oct-10,694.6,690.3,697,683
13-Oct-10,705.37,698.8,710.3,696.6
14-Oct-10,704.69,705,708.3,697.8
15-Oct-10,703.16,710.4,711.3,697.8
18-Oct-10,710.13,704.8,710.2,701.8
19-Oct-10,694.15,700.2,707.6,689.5
20-Oct-10,702.11,698.5,706.3,695.8
21-Oct-10,698.12,705.6,710.8,689.7
22-Oct-10,703.43,700.8,703.8,697.7
25-Oct-10,707.89,708.5,715.6,705.8
26-Oct-10,706.93,703.2,711.2,699.5
27-Oct-10,704.23,701.5,705.7,695.3
28-Oct-10,701.03,710.5,711.1,697
29-Oct-10,703.35,698.1,706.1,697.8
1-Nov-10,698.56,706.3,711,693
2-Nov-10,712.89,706.6,713.3,702.8
3-Nov-10,715.14,713.6,716.1,705
4-Nov-10,733.46,728.5,734.1,726.3
5-Nov-10,736.59,734.6,739.8,733.1
8-Nov-10,736.77,734.8,738.6,730.8
9-Nov-10,726.03,738.7,739.7,722.8
10-Nov-10,734.85,727.3,735,720.7
11-Nov-10,731.58,727,734.8,724.2
12-Nov-10,719.27,724.7,730.3,718.5
15-Nov-10,719.94,723.8,728.1,719.3
16-Nov-10,705.33,714.5,716.3,701
17-Nov-10,707.77,707.3,709.7,703.7
18-Nov-10,720.84,716.8,724.8,716.6
19-Nov-10,724.36,718.8,725.1,714.3
22-Nov-10,727.33,721.1,728.8,716.5
23-Nov-10,719.93,718.2,721.3,714.5
24-Nov-10,736.53,727,737.1,727
26-Nov-10,732.73,732,736.3,730.3
29-Nov-10,731.95,728.8,734.2,719.3
30-Nov-10,727.01,724.3,731.5,721
1-Dec-10,743.14,740.5,745,740.1
2-Dec-10,751.2,743.8,751.8,742.8
3-Dec-10,756.42,747.3,757.5,746.8
6-Dec-10,760.86,755.1,762,753.6
7-Dec-10,765.3,769,771,762.6
8-Dec-10,764.04,766.3,767.8,762.3
9-Dec-10,767.63,769,769.3,763.5
10-Dec-10,776.83,768.5,778,766.4
13-Dec-10,772.1,779.2,780.3,772
14-Dec-10,771.66,775.3,775.9,770.7
15-Dec-10,768.36,771.3,779.3,767.9
16-Dec-10,776.55,770.7,778.3,767.9
17-Dec-10,779.51,777,780.2,771.6
