Date,Price,Open,High,Low,Vol,Change %
1-Oct-10,128.91,128.72,129.07,127.91,17.21,0.78%
4-Oct-10,128.46,128.52,128.62,128.22,8.37,-0.35%
5-Oct-10,130.99,130.11,131.12,129.87,17.49,1.97%
6-Oct-10,131.81,131.45,131.86,131.34,16.14,0.63%
7-Oct-10,130.37,132.6,132.67,129.51,38.68,-1.09%
8-Oct-10,131.66,130.78,131.88,130.47,18.7,0.99%
11-Oct-10,132.29,131.28,132.33,130.98,10.63,0.48%
12-Oct-10,131.96,132.06,132.21,131.36,13.3,-0.25%
13-Oct-10,134.07,132.73,134.31,132.63,18.4,1.60%
14-Oct-10,134.75,134.06,134.85,133.9,26.89,0.51%
15-Oct-10,133.68,134.24,134.46,133.07,26.17,-0.79%
18-Oct-10,134.28,133.46,134.34,133.16,12.3,0.45%
19-Oct-10,130.11,130.46,131.59,129.75,25.33,-3.11%
20-Oct-10,131.32,130.36,131.65,130.32,12.56,0.93%
21-Oct-10,129.47,131.08,131.59,128.72,21.81,-1.41%
22-Oct-10,129.73,129.47,129.75,128.97,11.89,0.20%
25-Oct-10,130.85,131.16,131.38,130.21,12.16,0.86%
26-Oct-10,130.88,129.99,131.14,129.73,10.71,0.02%
27-Oct-10,129.52,129.93,130,128.79,16.13,-1.04%
28-Oct-10,131.24,130.36,131.5,129.84,15.9,1.33%
29-Oct-10,132.62,131.48,132.82,131.06,14.34,1.05%
1-Nov-10,131.92,132.85,133.07,131.76,12.4,-0.53%
2-Nov-10,132.49,132.44,132.59,131.88,9.41,0.43%
3-Nov-10,131.57,132.28,132.52,129.48,31.71,-0.69%
4-Nov-10,136.03,134.64,136.13,134.24,23.47,3.39%
5-Nov-10,136.38,135.14,136.61,134.95,20.34,0.26%
8-Nov-10,137.78,135.92,137.79,135.53,17.37,1.03%
9-Nov-10,135.59,138.7,139.15,135.05,39.45,-1.59%
10-Nov-10,137.24,137.03,137.28,135.15,28.48,1.22%
11-Nov-10,137.66,137.62,137.75,136.45,15.45,0.31%
12-Nov-10,133.69,135.89,136.31,132.82,35.89,-2.88%
15-Nov-10,132.42,133.86,134.49,132.39,15.1,-0.95%
16-Nov-10,130.97,132.24,132.38,129.83,32.49,-1.09%
17-Nov-10,130.38,130.77,131.37,130.13,16.43,-0.45%
18-Nov-10,132.09,131.82,132.78,131.55,16.01,1.31%
19-Nov-10,132.2,131.48,132.35,131.01,14.15,0.08%
22-Nov-10,133.48,132.13,133.6,131.69,13.09,0.97%
23-Nov-10,134.41,133.6,135.07,133.46,18.22,0.70%
24-Nov-10,134.18,134.36,134.7,133.74,8.86,-0.17%
26-Nov-10,132.82,132.38,132.89,131.93,7.82,-1.01%
29-Nov-10,133.51,133.19,133.75,132.33,13.98,0.52%
30-Nov-10,135.42,135.21,135.75,134.78,17.47,1.43%
1-Dec-10,135.38,135.71,136.14,134.96,16.83,-0.03%
2-Dec-10,135.2,135.62,136.59,135.15,17.58,-0.13%
3-Dec-10,138.07,136.62,138.11,136.48,16.52,2.12%
6-Dec-10,139.11,138.14,139.46,137.73,15.64,0.75%
7-Dec-10,136.5,139.46,139.54,136.46,26.5,-1.88%
