"Date","Price","Open","High","Low","Change %"
"Oct 01, 2010","2.513","2.513","2.513","2.513","0.04%"
"Oct 04, 2010","2.479","2.479","2.479","2.479","-1.35%"
"Oct 05, 2010","2.474","2.474","2.474","2.474","-0.20%"
"Oct 06, 2010","2.401","2.401","2.401","2.401","-2.95%"
"Oct 07, 2010","2.385","2.385","2.385","2.385","-0.67%"
"Oct 08, 2010","2.396","2.396","2.396","2.396","0.46%"
"Oct 11, 2010","2.389","2.389","2.389","2.389","-0.29%"
"Oct 12, 2010","2.433","2.433","2.433","2.433","1.84%"
"Oct 13, 2010","2.429","2.429","2.429","2.429","-0.16%"
"Oct 14, 2010","2.509","2.509","2.509","2.509","3.29%"
"Oct 15, 2010","2.567","2.567","2.567","2.567","2.31%"
"Oct 18, 2010","2.515","2.515","2.515","2.515","-2.03%"
"Oct 19, 2010","2.481","2.481","2.481","2.481","-1.35%"
"Oct 20, 2010","2.481","2.481","2.481","2.481","0.00%"
"Oct 21, 2010","2.542","2.542","2.542","2.542","2.46%"
"Oct 22, 2010","2.561","2.561","2.561","2.561","0.75%"
"Oct 25, 2010","2.565","2.565","2.565","2.565","0.16%"
"Oct 26, 2010","2.645","2.645","2.645","2.645","3.12%"
"Oct 27, 2010","2.722","2.722","2.722","2.722","2.91%"
"Oct 28, 2010","2.659","2.659","2.659","2.659","-2.31%"
"Oct 29, 2010","2.603","2.603","2.603","2.603","-2.11%"
"Nov 01, 2010","2.625","2.625","2.625","2.625","0.85%"
"Nov 02, 2010","2.587","2.587","2.587","2.587","-1.45%"
"Nov 03, 2010","2.579","2.579","2.579","2.579","-0.31%"
"Nov 04, 2010","2.493","2.493","2.493","2.493","-3.33%"
"Nov 05, 2010","2.539","2.539","2.539","2.539","1.85%"
"Nov 08, 2010","2.558","2.558","2.558","2.558","0.75%"
"Nov 09, 2010","2.663","2.663","2.663","2.663","4.10%"
"Nov 10, 2010","2.639","2.639","2.639","2.639","-0.90%"
"Nov 11, 2010","2.656","2.656","2.656","2.656","0.64%"
"Nov 12, 2010","2.789","2.789","2.789","2.789","5.01%"
"Nov 15, 2010","2.967","2.967","2.967","2.967","6.38%"
"Nov 16, 2010","2.845","2.845","2.845","2.845","-4.11%"
"Nov 17, 2010","2.882","2.882","2.882","2.882","1.30%"
"Nov 18, 2010","2.901","2.901","2.901","2.901","0.66%"
