date,us13wopen,us13whigh,us13wlow,us13wclose,us13wadjclose
10/1/2010,0.155,0.155,0.145,0.15,0.15
10/4/2010,0.15,0.15,0.145,0.145,0.145
10/5/2010,0.12,0.12,0.11,0.115,0.115
10/6/2010,0.11,0.12,0.11,0.115,0.115
10/7/2010,0.115,0.12,0.115,0.115,0.115
10/8/2010,0.115,0.115,0.115,0.115,0.115
10/11/2010,0.115,0.115,0.115,0.115,0.115
10/12/2010,0.115,0.12,0.11,0.115,0.115
10/13/2010,0.13,0.13,0.13,0.13,0.13
10/14/2010,0.125,0.14,0.125,0.135,0.135
10/15/2010,0.13,0.135,0.13,0.135,0.135
10/18/2010,0.135,0.14,0.135,0.135,0.135
10/19/2010,0.135,0.14,0.135,0.135,0.135
10/20/2010,0.135,0.135,0.135,0.135,0.135
10/21/2010,0.13,0.13,0.12,0.12,0.12
10/22/2010,0.12,0.125,0.12,0.12,0.12
10/25/2010,0.12,0.12,0.11,0.115,0.115
10/26/2010,0.13,0.13,0.13,0.13,0.13
10/27/2010,0.13,0.135,0.13,0.13,0.13
10/28/2010,0.125,0.13,0.125,0.125,0.125
10/29/2010,0.125,0.125,0.11,0.11,0.11
11/1/2010,0.11,0.11,0.1,0.105,0.105
11/2/2010,0.125,0.13,0.125,0.125,0.125
11/3/2010,0.11,0.125,0.1,0.12,0.12
11/4/2010,0.115,0.12,0.115,0.115,0.115
11/5/2010,0.115,0.12,0.11,0.12,0.12
11/8/2010,0.12,0.12,0.11,0.11,0.11
11/9/2010,0.125,0.125,0.12,0.125,0.125
11/10/2010,0.12,0.125,0.12,0.125,0.125
11/11/2010,0.125,0.125,0.125,0.125,0.125
11/12/2010,0.125,0.125,0.125,0.125,0.125
11/15/2010,0.125,0.13,0.125,0.13,0.13
11/16/2010,0.135,0.14,0.135,0.135,0.135
11/17/2010,0.135,0.14,0.13,0.135,0.135
11/18/2010,0.135,0.135,0.135,0.135,0.135
11/19/2010,0.13,0.13,0.13,0.13,0.13
11/22/2010,0.13,0.13,0.115,0.125,0.125
11/23/2010,0.135,0.145,0.125,0.14,0.14
11/24/2010,0.145,0.16,0.14,0.15,0.15
11/26/2010,0.145,0.155,0.145,0.155,0.155
11/29/2010,0.15,0.16,0.15,0.155,0.155
11/30/2010,0.165,0.165,0.16,0.16,0.16
12/1/2010,0.16,0.16,0.155,0.155,0.155
12/2/2010,0.155,0.155,0.145,0.145,0.145
12/3/2010,0.145,0.145,0.13,0.13,0.13
12/6/2010,0.135,0.135,0.125,0.125,0.125
12/7/2010,0.14,0.145,0.125,0.14,0.14
12/8/2010,0.14,0.14,0.13,0.135,0.135
12/9/2010,0.135,0.14,0.13,0.135,0.135
12/10/2010,0.135,0.135,0.115,0.115,0.115
12/13/2010,0.12,0.125,0.11,0.12,0.12
12/14/2010,0.14,0.14,0.12,0.135,0.135
12/15/2010,0.14,0.14,0.13,0.135,0.135
12/16/2010,0.135,0.14,0.12,0.125,0.125
12/17/2010,0.12,0.12,0.1,0.105,0.105
12/20/2010,0.095,0.105,0.09,0.1,0.1
12/21/2010,0.125,0.135,0.125,0.13,0.13
12/22/2010,0.135,0.135,0.13,0.13,0.13
12/23/2010,0.13,0.135,0.13,0.13,0.13
12/27/2010,0.135,0.15,0.12,0.12,0.12
12/28/2010,0.16,0.16,0.115,0.14,0.14
12/29/2010,0.135,0.135,0.125,0.125,0.125
12/30/2010,0.135,0.135,0.1,0.11,0.11
12/31/2010,0.12,0.125,0.115,0.115,0.115
