Date,Price,Open,High,Low,Change %
1-Oct-10,22.5,22.9,23.67,22.46,-5.06%
4-Oct-10,23.53,23.63,24.34,23.3,4.58%
5-Oct-10,21.76,22.52,23.08,21.71,-7.52%
6-Oct-10,21.49,21.82,22.13,21.46,-1.24%
7-Oct-10,21.56,21.31,22.16,21.28,0.33%
8-Oct-10,20.71,21.58,21.64,20.29,-3.94%
11-Oct-10,18.96,19.33,19.51,18.8,-8.45%
12-Oct-10,18.93,20,20.1,18.55,-0.16%
13-Oct-10,19.07,17.92,19.16,17.9,0.74%
14-Oct-10,19.88,19.59,21.02,19.4,4.25%
15-Oct-10,19.03,20.2,21.59,19.02,-4.28%
18-Oct-10,19.09,20.43,20.71,18.88,0.32%
19-Oct-10,20.63,20.7,21.35,19.33,8.07%
20-Oct-10,19.79,21.2,21.2,19.67,-4.07%
21-Oct-10,19.27,19.7,20.53,18.93,-2.63%
22-Oct-10,18.78,19.36,19.36,18.76,-2.54%
25-Oct-10,19.85,19.22,19.88,18.86,5.70%
26-Oct-10,20.22,20.52,21.01,20.22,1.86%
27-Oct-10,20.71,21.11,22.37,20.69,2.42%
28-Oct-10,20.88,20.28,21.41,20.18,0.82%
29-Oct-10,21.2,21.2,21.4,20.86,1.53%
1-Nov-10,21.83,21.65,22.54,20.92,2.97%
2-Nov-10,21.57,21.34,21.82,21.22,-1.19%
3-Nov-10,19.56,21.66,22.02,19.54,-9.32%
4-Nov-10,18.52,18.03,18.8,17.97,-5.32%
5-Nov-10,18.26,18.07,18.44,17.92,-1.40%
8-Nov-10,18.29,19.33,19.35,18.21,0.16%
9-Nov-10,19.08,18.51,19.39,17.83,4.32%
10-Nov-10,18.47,18.94,19.96,18.41,-3.20%
11-Nov-10,18.64,19.44,19.75,18.48,0.92%
12-Nov-10,20.61,19.59,21.23,19.29,10.57%
15-Nov-10,20.2,20.33,20.37,19.14,-1.99%
16-Nov-10,22.58,21.26,23.07,20.95,11.78%
17-Nov-10,21.76,22.19,22.21,21.22,-3.63%
18-Nov-10,18.75,20.31,20.31,18.75,-13.83%
19-Nov-10,18.04,19.15,19.72,17.76,-3.79%
22-Nov-10,18.37,19.45,20.14,18.35,1.83%
23-Nov-10,20.63,20.25,21.45,20.24,12.30%
24-Nov-10,19.56,19.42,19.61,18.73,-5.19%
26-Nov-10,22.22,21.17,22.22,20.28,13.60%
29-Nov-10,21.53,23.15,23.84,21.38,-3.11%
30-Nov-10,23.54,23.27,23.79,22.42,9.34%
1-Dec-10,21.36,21.19,21.43,20.4,-9.26%
2-Dec-10,19.39,21.13,21.13,19.1,-9.22%
3-Dec-10,18.01,19.26,19.28,17.71,-7.12%
6-Dec-10,18.02,18.8,18.85,17.95,0.06%
7-Dec-10,17.99,17.13,18.15,17.13,-0.17%
8-Dec-10,17.74,17.97,18.32,17.69,-1.39%
9-Dec-10,17.25,17.32,17.84,17.24,-2.76%
10-Dec-10,17.61,17.06,17.63,17.06,2.09%
13-Dec-10,17.55,16.82,17.67,16.68,-0.34%
14-Dec-10,17.61,17.6,17.95,17.22,0.34%
15-Dec-10,17.94,17.99,18.14,17.37,1.87%
16-Dec-10,17.39,18.03,18.27,16.88,-3.07%
17-Dec-10,16.11,17.62,17.64,15.46,-7.36%
20-Dec-10,16.41,16.22,16.86,15.78,1.86%
21-Dec-10,16.49,16.2,16.62,16.08,0.49%
22-Dec-10,15.45,16.52,16.56,15.45,-6.31%
23-Dec-10,16.47,15.44,16.86,15.4,6.60%
27-Dec-10,17.67,18.26,18.32,17.66,7.29%
28-Dec-10,17.52,17.3,17.99,17.3,-0.85%
29-Dec-10,17.28,17.49,17.49,17.02,-1.37%
30-Dec-10,17.52,17.65,17.89,17.46,1.39%
31-Dec-10,17.75,17.91,18.13,17.75,1.31%
3-Jan-11,17.61,17.94,17.95,16.91,-0.79%
4-Jan-11,17.38,17.34,18.24,17.33,-1.31%
5-Jan-11,17.02,17.81,17.95,16.86,-2.07%
6-Jan-11,17.4,16.8,17.56,16.79,2.23%
7-Jan-11,17.14,17.31,18.07,16.57,-1.49%
10-Jan-11,17.54,18.35,18.63,17.54,2.33%
11-Jan-11,16.89,16.61,17.35,16.6,-3.71%
12-Jan-11,16.24,16.26,16.5,16.17,-3.85%
13-Jan-11,16.39,16.51,16.78,16.14,0.92%
14-Jan-11,15.46,16.67,16.71,15.37,-5.67%
18-Jan-11,15.87,16.19,16.2,15.71,2.65%
19-Jan-11,17.31,15.89,17.67,15.86,9.07%
20-Jan-11,17.99,17.81,18.85,17.65,3.93%
21-Jan-11,18.47,17.03,18.61,16.6,2.67%
24-Jan-11,17.65,18.78,18.93,17.56,-4.44%
25-Jan-11,17.59,18.22,18.55,17.59,-0.34%
26-Jan-11,16.64,17,17.42,16.59,-5.40%
27-Jan-11,16.15,16.84,16.89,15.81,-2.94%
28-Jan-11,20.04,15.94,20.08,15.92,24.09%
31-Jan-11,19.53,19.61,19.96,17.1,-2.54%
1-Feb-11,17.63,18.59,18.63,17.4,-9.73%
2-Feb-11,17.3,17.82,17.84,17.28,-1.87%
3-Feb-11,16.69,17.53,17.8,16.61,-3.53%
4-Feb-11,15.93,16.64,16.74,15.89,-4.55%
7-Feb-11,16.28,16.14,16.54,15.84,2.20%
8-Feb-11,15.81,16.29,16.6,14.86,-2.89%
9-Feb-11,15.87,16.27,16.52,15.86,0.38%
10-Feb-11,16.09,16.74,17.07,16,1.39%
11-Feb-11,15.69,16.53,16.53,15.55,-2.49%
14-Feb-11,15.95,16.07,16.26,15.22,1.66%
15-Feb-11,16.37,16.3,16.75,16.27,2.63%
16-Feb-11,16.72,16.31,16.74,15.84,2.14%
17-Feb-11,16.59,17.01,17.3,15.88,-0.78%
18-Feb-11,16.43,16.59,16.91,15.54,-0.96%
22-Feb-11,20.8,19.46,21.45,18.38,26.60%
23-Feb-11,22.13,20.84,23.22,20.3,6.39%
24-Feb-11,21.32,22.28,22.71,20.81,-3.66%
25-Feb-11,19.22,20.41,20.44,18.88,-9.85%
28-Feb-11,18.35,19.12,19.27,18.14,-4.53%
