nikkeidate,nikkeiprice,nikkeiopen,nikkeihigh,nikkeilow
1-Oct-10,"9,404.23","9,454.00","9,474.50","9,354.50"
4-Oct-10,"9,381.06","9,404.00","9,514.50","9,359.50"
5-Oct-10,"9,518.76","9,339.00","9,539.50","9,334.00"
6-Oct-10,"9,691.43","9,594.00","9,694.50","9,569.50"
7-Oct-10,"9,684.81","9,649.00","9,719.50","9,649.00"
8-Oct-10,"9,588.88","9,644.00","9,674.50","9,588.88"
12-Oct-10,"9,388.64","9,642.00","9,644.00","9,384.00"
13-Oct-10,"9,403.51","9,474.00","9,504.50","9,389.50"
14-Oct-10,"9,583.51","9,509.00","9,614.50","9,479.50"
15-Oct-10,"9,500.25","9,544.00","9,554.50","9,474.50"
18-Oct-10,"9,498.49","9,519.00","9,559.50","9,469.50"
19-Oct-10,"9,539.45","9,489.00","9,574.50","9,484.00"
20-Oct-10,"9,381.60","9,404.00","9,409.00","9,309.50"
21-Oct-10,"9,376.48","9,439.00","9,481.50","9,329.50"
22-Oct-10,"9,426.71","9,409.00","9,454.50","9,389.00"
25-Oct-10,"9,401.16","9,439.00","9,459.50","9,389.50"
26-Oct-10,"9,377.38","9,389.00","9,459.50","9,364.50"
27-Oct-10,"9,387.03","9,434.00","9,454.50","9,328.50"
28-Oct-10,"9,366.03","9,368.00","9,413.50","9,348.50"
29-Oct-10,"9,202.45","9,313.00","9,333.50","9,163.50"
1-Nov-10,"9,154.72","9,163.00","9,271.00","9,128.50"
2-Nov-10,"9,159.98","9,133.00","9,163.50","9,123.50"
4-Nov-10,"9,358.78","9,283.00","9,368.50","9,283.00"
5-Nov-10,"9,625.99","9,523.00","9,683.50","9,518.00"
8-Nov-10,"9,732.92","9,698.00","9,735.50","9,683.50"
9-Nov-10,"9,694.49","9,663.00","9,718.50","9,648.50"
10-Nov-10,"9,830.52","9,748.00","9,838.50","9,743.00"
11-Nov-10,"9,861.46","9,868.00","9,878.50","9,833.50"
12-Nov-10,"9,724.81","9,808.00","9,848.50","9,718.50"
15-Nov-10,"9,827.51","9,803.00","9,833.50","9,743.50"
16-Nov-10,"9,797.10","9,898.00","9,908.00","9,793.50"
17-Nov-10,"9,811.66","9,703.00","9,811.66","9,698.00"
18-Nov-10,"10,013.63","9,823.00","10,013.63","9,803.50"
19-Nov-10,"10,022.39","10,128.00","10,133.50","10,018.50"
22-Nov-10,"10,115.19","10,143.00","10,158.50","10,088.50"
24-Nov-10,"10,030.11","9,923.00","10,063.50","9,898.50"
25-Nov-10,"10,079.76","10,103.00","10,118.50","10,038.50"
26-Nov-10,"10,039.56","10,083.00","10,133.50","10,038.00"
29-Nov-10,"10,125.99","10,078.00","10,148.50","10,038.50"
30-Nov-10,"9,937.04","10,068.00","10,103.50","9,937.04"
1-Dec-10,"9,988.05","9,948.00","9,988.05","9,913.50"
2-Dec-10,"10,168.52","10,178.00","10,193.00","10,143.50"
3-Dec-10,"10,178.32","10,173.50","10,178.50","10,153.50"
6-Dec-10,"10,167.23","10,173.00","10,178.00","10,138.50"
7-Dec-10,"10,141.10","10,158.00","10,163.50","10,093.50"
8-Dec-10,"10,232.33","10,203.00","10,263.50","10,183.50"
9-Dec-10,"10,285.88","10,286.00","10,293.00","10,243.50"
10-Dec-10,"10,211.95","10,263.00","10,323.00","10,183.50"
13-Dec-10,"10,293.89","10,203.00","10,293.89","10,195.50"
14-Dec-10,"10,316.77","10,268.00","10,318.50","10,258.00"
15-Dec-10,"10,309.78","10,313.00","10,333.50","10,278.50"
16-Dec-10,"10,311.29","10,303.00","10,353.50","10,288.50"
17-Dec-10,"10,303.83","10,313.00","10,328.50","10,283.50"
20-Dec-10,"10,216.41","10,288.00","10,293.50","10,178.50"
21-Dec-10,"10,370.53","10,268.00","10,400.50","10,263.00"
22-Dec-10,"10,346.48","10,348.00","10,393.50","10,323.50"
24-Dec-10,"10,279.19","10,263.00","10,279.19","10,258.50"
27-Dec-10,"10,355.99","10,293.00","10,383.50","10,293.00"
28-Dec-10,"10,292.63","10,311.00","10,326.50","10,283.00"
29-Dec-10,"10,344.54","10,273.00","10,358.50","10,273.00"
30-Dec-10,"10,228.92","10,303.00","10,308.00","10,178.50"
4-Jan-11,"10,398.10","10,326.00","10,409.00","10,309.50"
5-Jan-11,"10,380.77","10,369.00","10,399.50","10,349.50"
6-Jan-11,"10,529.76","10,495.00","10,529.76","10,490.50"
7-Jan-11,"10,541.04","10,500.00","10,542.50","10,500.00"
11-Jan-11,"10,510.68","10,467.00","10,533.50","10,467.00"
12-Jan-11,"10,512.80","10,558.00","10,568.50","10,498.50"
13-Jan-11,"10,589.76","10,598.00","10,613.50","10,568.50"
14-Jan-11,"10,499.04","10,563.00","10,575.50","10,490.50"
17-Jan-11,"10,502.86","10,550.00","10,560.50","10,480.50"
18-Jan-11,"10,518.98","10,470.00","10,545.50","10,450.50"
19-Jan-11,"10,557.10","10,565.00","10,580.50","10,530.50"
20-Jan-11,"10,437.31","10,490.00","10,500.50","10,420.50"
21-Jan-11,"10,274.52","10,465.00","10,465.00","10,255.50"
24-Jan-11,"10,345.11","10,320.00","10,345.50","10,275.50"
25-Jan-11,"10,464.42","10,370.00","10,475.50","10,350.50"
26-Jan-11,"10,401.90","10,410.00","10,440.50","10,395.00"
27-Jan-11,"10,478.66","10,455.00","10,485.50","10,415.50"
28-Jan-11,"10,360.34","10,465.00","10,475.50","10,315.50"
31-Jan-11,"10,237.92","10,210.00","10,260.50","10,175.50"
1-Feb-11,"10,274.50","10,270.00","10,295.50","10,240.50"
2-Feb-11,"10,457.36","10,365.00","10,490.50","10,360.00"
3-Feb-11,"10,431.36","10,410.00","10,445.50","10,410.00"
4-Feb-11,"10,543.52","10,540.00","10,580.50","10,535.00"
7-Feb-11,"10,592.04","10,650.00","10,655.00","10,565.50"
8-Feb-11,"10,635.98","10,635.00","10,645.00","10,620.50"
9-Feb-11,"10,617.83","10,680.00","10,695.00","10,597.50"
10-Feb-11,"10,605.65","10,577.00","10,627.50","10,567.50"
14-Feb-11,"10,725.54","10,685.00","10,725.54","10,667.50"
15-Feb-11,"10,746.67","10,722.00","10,752.50","10,712.50"
16-Feb-11,"10,808.29","10,762.00","10,837.50","10,752.00"
17-Feb-11,"10,836.64","10,872.00","10,887.50","10,817.50"
18-Feb-11,"10,842.80","10,817.00","10,852.50","10,807.50"
21-Feb-11,"10,857.53","10,810.00","10,857.53","10,787.50"
22-Feb-11,"10,664.70","10,737.00","10,752.50","10,637.50"
23-Feb-11,"10,579.10","10,587.00","10,662.50","10,567.00"
24-Feb-11,"10,452.71","10,543.00","10,543.50","10,428.50"
