spdrmatdate,spdrmatprice,spdrmatopen,spdrmathigh,spdrmatlow,spdrmatvol
1-Oct-10,33.21,32.98,33.24,32.96,7.77
4-Oct-10,32.68,32.95,33.08,32.56,13.06
5-Oct-10,33.6,33.06,33.72,33.06,13.12
6-Oct-10,33.92,33.68,34.01,33.64,6.82
7-Oct-10,33.58,34.02,34.04,33.27,9.14
8-Oct-10,34.24,33.7,34.34,33.7,7.97
11-Oct-10,34.18,34.4,34.41,34.05,5.87
12-Oct-10,34.27,34.1,34.329,33.74,7.3
13-Oct-10,34.82,34.68,34.95,34.49,7.31
14-Oct-10,34.49,34.81,34.88,34.29,8.27
15-Oct-10,34.59,34.76,34.77,34.13,12.3
18-Oct-10,34.74,34.47,34.75,34.27,6.84
19-Oct-10,33.85,34.14,34.33,33.7,15.13
20-Oct-10,34.55,33.99,34.78,33.91,10.18
21-Oct-10,34.54,34.7,34.85,34.18,11.13
22-Oct-10,34.29,34.56,34.61,34.18,8.31
25-Oct-10,35.03,34.82,35.17,34.74,11.36
26-Oct-10,34.82,34.55,34.9,34.31,9.34
27-Oct-10,34.5,34.56,34.56,34.13,12.33
28-Oct-10,34.52,34.79,34.91,34.29,10.03
29-Oct-10,34.8,34.45,34.87,34.36,6.78
1-Nov-10,34.78,34.98,35.22,34.59,8.1
2-Nov-10,35.14,35.09,35.36,34.99,11.73
3-Nov-10,35.04,35.25,35.3,34.5,17.16
4-Nov-10,36.19,35.57,36.19,35.56,10.04
5-Nov-10,36.32,36.24,36.54,36.11,10.1
8-Nov-10,36.41,36.09,36.46,36.05,7.94
9-Nov-10,35.77,36.59,36.71,35.56,11.36
10-Nov-10,35.95,35.77,36.04,35.35,9.33
11-Nov-10,36.32,35.77,36.34,35.76,9.39
12-Nov-10,35.51,35.91,36.048,35.21,17.48
15-Nov-10,35.23,35.61,35.7199,35.2,9.73
16-Nov-10,34.47,34.82,34.89,34.2,19.88
17-Nov-10,34.46,34.48,34.82,34.3,13.33
18-Nov-10,35.11,34.92,35.41,34.92,14.43
19-Nov-10,35.39,35.12,35.39,34.93,9.05
22-Nov-10,35.48,35.24,35.51,34.94,11.73
23-Nov-10,34.8,34.93,35.02,34.63,13.24
24-Nov-10,35.47,35.08,35.47,35.04,8.01
26-Nov-10,34.94,35.1,35.16,34.93,4.66
29-Nov-10,35.17,34.79,35.28,34.3699,12.83
30-Nov-10,35.19,34.88,35.48,34.7505,15.61
1-Dec-10,36.15,35.78,36.17,35.7,12.3
