us13wdate,us13wopen,us13whigh,us13wlow,us13wclose,us13wadjclose
1-Oct-10,0.155,0.155,0.145,0.15,0.15
4-Oct-10,0.15,0.15,0.145,0.145,0.145
5-Oct-10,0.12,0.12,0.11,0.115,0.115
6-Oct-10,0.11,0.12,0.11,0.115,0.115
7-Oct-10,0.115,0.12,0.115,0.115,0.115
8-Oct-10,0.115,0.115,0.115,0.115,0.115
11-Oct-10,0.115,0.115,0.115,0.115,0.115
12-Oct-10,0.115,0.12,0.11,0.115,0.115
13-Oct-10,0.13,0.13,0.13,0.13,0.13
14-Oct-10,0.125,0.14,0.125,0.135,0.135
15-Oct-10,0.13,0.135,0.13,0.135,0.135
18-Oct-10,0.135,0.14,0.135,0.135,0.135
19-Oct-10,0.135,0.14,0.135,0.135,0.135
20-Oct-10,0.135,0.135,0.135,0.135,0.135
21-Oct-10,0.13,0.13,0.12,0.12,0.12
22-Oct-10,0.12,0.125,0.12,0.12,0.12
25-Oct-10,0.12,0.12,0.11,0.115,0.115
26-Oct-10,0.13,0.13,0.13,0.13,0.13
27-Oct-10,0.13,0.135,0.13,0.13,0.13
28-Oct-10,0.125,0.13,0.125,0.125,0.125
29-Oct-10,0.125,0.125,0.11,0.11,0.11
1-Nov-10,0.11,0.11,0.1,0.105,0.105
2-Nov-10,0.125,0.13,0.125,0.125,0.125
3-Nov-10,0.11,0.125,0.1,0.12,0.12
4-Nov-10,0.115,0.12,0.115,0.115,0.115
5-Nov-10,0.115,0.12,0.11,0.12,0.12
8-Nov-10,0.12,0.12,0.11,0.11,0.11
9-Nov-10,0.125,0.125,0.12,0.125,0.125
10-Nov-10,0.12,0.125,0.12,0.125,0.125
11-Nov-10,0.125,0.125,0.125,0.125,0.125
12-Nov-10,0.125,0.125,0.125,0.125,0.125
15-Nov-10,0.125,0.13,0.125,0.13,0.13
16-Nov-10,0.135,0.14,0.135,0.135,0.135
17-Nov-10,0.135,0.14,0.13,0.135,0.135
18-Nov-10,0.135,0.135,0.135,0.135,0.135
19-Nov-10,0.13,0.13,0.13,0.13,0.13
22-Nov-10,0.13,0.13,0.115,0.125,0.125
23-Nov-10,0.135,0.145,0.125,0.14,0.14
24-Nov-10,0.145,0.16,0.14,0.15,0.15
26-Nov-10,0.145,0.155,0.145,0.155,0.155
29-Nov-10,0.15,0.16,0.15,0.155,0.155
30-Nov-10,0.165,0.165,0.16,0.16,0.16
1-Dec-10,0.16,0.16,0.155,0.155,0.155
2-Dec-10,0.155,0.155,0.145,0.145,0.145
3-Dec-10,0.145,0.145,0.13,0.13,0.13
6-Dec-10,0.135,0.135,0.125,0.125,0.125
7-Dec-10,0.14,0.145,0.125,0.14,0.14
8-Dec-10,0.14,0.14,0.13,0.135,0.135
9-Dec-10,0.135,0.14,0.13,0.135,0.135
10-Dec-10,0.135,0.135,0.115,0.115,0.115
13-Dec-10,0.12,0.125,0.11,0.12,0.12
14-Dec-10,0.14,0.14,0.12,0.135,0.135
