us5ydate,us5yprice,us5yopen,us5yhigh,us5ylow
1-Oct-10,1.26,1.26,1.26,1.26
4-Oct-10,1.229,1.229,1.229,1.229
5-Oct-10,1.196,1.196,1.196,1.196
6-Oct-10,1.155,1.155,1.155,1.155
7-Oct-10,1.127,1.127,1.127,1.127
8-Oct-10,1.106,1.106,1.106,1.106
12-Oct-10,1.136,1.136,1.136,1.136
13-Oct-10,1.118,1.118,1.118,1.118
14-Oct-10,1.178,1.178,1.178,1.178
15-Oct-10,1.188,1.188,1.188,1.188
18-Oct-10,1.13,1.13,1.13,1.13
19-Oct-10,1.104,1.104,1.104,1.104
20-Oct-10,1.102,1.102,1.102,1.102
21-Oct-10,1.133,1.133,1.133,1.133
22-Oct-10,1.152,1.152,1.152,1.152
25-Oct-10,1.176,1.176,1.176,1.176
26-Oct-10,1.253,1.253,1.253,1.253
27-Oct-10,1.317,1.317,1.317,1.317
28-Oct-10,1.24,1.24,1.24,1.24
29-Oct-10,1.169,1.169,1.169,1.169
1-Nov-10,1.168,1.168,1.168,1.168
2-Nov-10,1.16,1.16,1.16,1.16
3-Nov-10,1.116,1.116,1.116,1.116
4-Nov-10,1.032,1.032,1.032,1.032
5-Nov-10,1.096,1.096,1.096,1.096
8-Nov-10,1.127,1.127,1.127,1.127
9-Nov-10,1.245,1.245,1.245,1.245
10-Nov-10,1.209,1.209,1.209,1.209
12-Nov-10,1.363,1.363,1.363,1.363
15-Nov-10,1.524,1.524,1.524,1.524
16-Nov-10,1.458,1.458,1.458,1.458
17-Nov-10,1.47,1.47,1.47,1.47
18-Nov-10,1.502,1.502,1.502,1.502
19-Nov-10,1.523,1.523,1.523,1.523
22-Nov-10,1.423,1.423,1.423,1.423
23-Nov-10,1.401,1.401,1.401,1.401
24-Nov-10,1.566,1.566,1.566,1.566
26-Nov-10,1.531,1.531,1.531,1.531
29-Nov-10,1.505,1.505,1.505,1.505
30-Nov-10,1.466,1.466,1.466,1.466
1-Dec-10,1.635,1.635,1.635,1.635
2-Dec-10,1.673,1.673,1.673,1.673
3-Dec-10,1.617,1.617,1.617,1.617
6-Dec-10,1.515,1.515,1.515,1.515
7-Dec-10,1.729,1.729,1.729,1.729
8-Dec-10,1.882,1.882,1.882,1.882
9-Dec-10,1.896,1.896,1.896,1.896
10-Dec-10,1.989,1.989,1.989,1.989
13-Dec-10,1.88,1.88,1.88,1.88
14-Dec-10,2.066,2.066,2.066,2.066
15-Dec-10,2.123,2.123,2.123,2.123
16-Dec-10,2.036,2.036,2.036,2.036
17-Dec-10,1.963,1.963,1.963,1.963
20-Dec-10,1.953,1.953,1.953,1.953
21-Dec-10,1.947,1.947,1.947,1.947
22-Dec-10,2.004,2.004,2.004,2.004
23-Dec-10,2.059,2.059,2.059,2.059
27-Dec-10,2.023,2.023,2.023,2.023
28-Dec-10,2.159,2.159,2.159,2.159
29-Dec-10,2.036,2.036,2.036,2.036
30-Dec-10,2.066,2.066,2.066,2.066
31-Dec-10,2.008,2.008,2.008,2.008
3-Jan-11,2.011,2.011,2.011,2.011
4-Jan-11,2.016,2.016,2.016,2.016
5-Jan-11,2.133,2.133,2.133,2.133
6-Jan-11,2.073,2.073,2.073,2.073
7-Jan-11,1.959,1.959,1.959,1.959
10-Jan-11,1.915,1.915,1.915,1.915
11-Jan-11,1.959,1.959,1.959,1.959
12-Jan-11,1.979,1.979,1.979,1.979
13-Jan-11,1.903,1.903,1.903,1.903
14-Jan-11,1.927,1.927,1.927,1.927
18-Jan-11,1.954,1.954,1.954,1.954
19-Jan-11,1.932,1.932,1.932,1.932
20-Jan-11,2.053,2.053,2.053,2.053
21-Jan-11,2.015,2.015,2.015,2.015
24-Jan-11,2.008,2.008,2.008,2.008
25-Jan-11,1.939,1.939,1.939,1.939
26-Jan-11,1.988,1.988,1.988,1.988
27-Jan-11,1.988,1.988,1.988,1.988
28-Jan-11,1.924,1.924,1.924,1.924
31-Jan-11,1.946,1.946,1.946,1.946
1-Feb-11,2.007,2.007,2.007,2.007
2-Feb-11,2.096,2.096,2.096,2.096
3-Feb-11,2.174,2.174,2.174,2.174
4-Feb-11,2.265,2.265,2.265,2.265
7-Feb-11,2.272,2.272,2.272,2.272
8-Feb-11,2.395,2.395,2.395,2.395
9-Feb-11,2.329,2.329,2.329,2.329
10-Feb-11,2.394,2.394,2.394,2.394
11-Feb-11,2.359,2.359,2.359,2.359
14-Feb-11,2.359,2.359,2.359,2.359
15-Feb-11,2.327,2.327,2.327,2.327
16-Feb-11,2.354,2.354,2.354,2.354
17-Feb-11,2.275,2.275,2.275,2.275
18-Feb-11,2.27,2.27,2.27,2.27
22-Feb-11,2.134,2.134,2.134,2.134
23-Feb-11,2.171,2.171,2.171,2.171
24-Feb-11,2.196,2.196,2.196,2.196
25-Feb-11,2.163,2.163,2.163,2.163
28-Feb-11,2.137,2.137,2.137,2.137
1-Mar-11,2.107,2.107,2.107,2.107
2-Mar-11,2.171,2.171,2.171,2.171
3-Mar-11,2.285,2.285,2.285,2.285
4-Mar-11,2.183,2.183,2.183,2.183
7-Mar-11,2.197,2.197,2.197,2.197
8-Mar-11,2.21,2.21,2.21,2.21
9-Mar-11,2.147,2.147,2.147,2.147
10-Mar-11,2.03,2.03,2.03,2.03
11-Mar-11,2.053,2.053,2.053,2.053
14-Mar-11,1.982,1.982,1.982,1.982
15-Mar-11,1.96,1.96,1.96,1.96
16-Mar-11,1.856,1.856,1.856,1.856
17-Mar-11,1.914,1.914,1.914,1.914
18-Mar-11,1.932,1.932,1.932,1.932
21-Mar-11,2.023,2.023,2.023,2.023
22-Mar-11,2.04,2.04,2.04,2.04
23-Mar-11,2.043,2.043,2.043,2.043
24-Mar-11,2.116,2.116,2.116,2.116
25-Mar-11,2.155,2.155,2.155,2.155
28-Mar-11,2.179,2.179,2.179,2.179
29-Mar-11,2.228,2.228,2.228,2.228
30-Mar-11,2.214,2.214,2.214,2.214
31-Mar-11,2.272,2.272,2.272,2.272
1-Apr-11,2.242,2.242,2.242,2.242
4-Apr-11,2.192,2.192,2.192,2.192
5-Apr-11,2.272,2.272,2.272,2.272
6-Apr-11,2.318,2.318,2.318,2.318
7-Apr-11,2.277,2.277,2.277,2.277
8-Apr-11,2.313,2.313,2.313,2.313
11-Apr-11,2.32,2.32,2.32,2.32
12-Apr-11,2.201,2.201,2.201,2.201
13-Apr-11,2.17,2.17,2.17,2.17
14-Apr-11,2.22,2.22,2.22,2.22
15-Apr-11,2.125,2.125,2.125,2.125
18-Apr-11,2.073,2.073,2.073,2.073
19-Apr-11,2.065,2.065,2.065,2.065
20-Apr-11,2.116,2.116,2.116,2.116
21-Apr-11,2.109,2.109,2.109,2.109
25-Apr-11,2.067,2.067,2.067,2.067
26-Apr-11,2.012,2.012,2.012,2.012
27-Apr-11,2.019,2.019,2.019,2.019
28-Apr-11,2,2,2,2
29-Apr-11,1.974,1.974,1.974,1.974
2-May-11,1.967,1.967,1.967,1.967
3-May-11,1.949,1.949,1.949,1.949
4-May-11,1.939,1.939,1.939,1.939
5-May-11,1.881,1.881,1.881,1.881
6-May-11,1.858,1.858,1.858,1.858
9-May-11,1.848,1.848,1.848,1.848
10-May-11,1.914,1.914,1.914,1.914
11-May-11,1.851,1.851,1.851,1.851
12-May-11,1.874,1.874,1.874,1.874
13-May-11,1.833,1.833,1.833,1.833
16-May-11,1.803,1.803,1.803,1.803
17-May-11,1.783,1.783,1.783,1.783
18-May-11,1.854,1.854,1.854,1.854
19-May-11,1.826,1.826,1.826,1.826
20-May-11,1.794,1.794,1.794,1.794
23-May-11,1.782,1.782,1.782,1.782
24-May-11,1.776,1.776,1.776,1.776
25-May-11,1.762,1.762,1.762,1.762
26-May-11,1.727,1.727,1.727,1.727
27-May-11,1.719,1.719,1.719,1.719
31-May-11,1.698,1.698,1.698,1.698
1-Jun-11,1.595,1.595,1.595,1.595
2-Jun-11,1.652,1.652,1.652,1.652
3-Jun-11,1.599,1.599,1.599,1.599
6-Jun-11,1.594,1.594,1.594,1.594
7-Jun-11,1.57,1.57,1.57,1.57
8-Jun-11,1.503,1.503,1.503,1.503
9-Jun-11,1.588,1.588,1.588,1.588
10-Jun-11,1.563,1.563,1.563,1.563
13-Jun-11,1.579,1.579,1.579,1.579
14-Jun-11,1.691,1.691,1.691,1.691
15-Jun-11,1.548,1.548,1.548,1.548
16-Jun-11,1.523,1.523,1.523,1.523
17-Jun-11,1.526,1.526,1.526,1.526
20-Jun-11,1.534,1.534,1.534,1.534
21-Jun-11,1.542,1.542,1.542,1.542
22-Jun-11,1.539,1.539,1.539,1.539
