vanguarddate,vanguardopen,vanguardhigh,vanguardlow,vanguardclose,vanguardadjclose,vanguardvolume
1-Oct-10,45.189999,45.240002,44.91,45.16,36.315605,114400
4-Oct-10,44.950001,45.110001,44.52,44.75,35.985912,81700
5-Oct-10,45.209999,45.900002,45.209999,45.799999,36.830276,60900
6-Oct-10,45.880001,45.990002,45.720001,45.900002,36.91069,72600
7-Oct-10,46.16,46.16,45.52,45.790001,36.822235,42500
8-Oct-10,45.790001,46.189999,45.700001,46.060001,37.03936,82600
11-Oct-10,46.18,46.189999,45.919998,46.02,37.007191,182600
12-Oct-10,45.799999,46.16,45.52,46.080002,37.05545,86700
13-Oct-10,46.369999,46.799999,46.32,46.580002,37.457516,82600
14-Oct-10,46.740002,46.75,46.310001,46.599998,37.473595,89600
15-Oct-10,46.77,46.77,46.25,46.560001,37.441433,46600
18-Oct-10,46.490002,46.810001,46.369999,46.669998,37.529892,91000
19-Oct-10,45.950001,46.16,45.470001,45.68,36.733776,179700
20-Oct-10,45.990002,46.57,45.970001,46.439999,37.344929,35400
21-Oct-10,46.610001,46.790001,46.049999,46.380001,37.296688,48700
22-Oct-10,46.57,46.57,46.34,46.48,37.377102,76400
25-Oct-10,46.84,47.029999,46.619999,46.689999,37.545963,111200
26-Oct-10,46.32,46.52,46.200001,46.5,37.393188,142200
27-Oct-10,46.220001,46.220001,45.700001,46.139999,37.103687,98400
28-Oct-10,46.490002,46.59,46.200001,46.439999,37.344929,47200
29-Oct-10,46.259998,46.52,46.25,46.490002,37.385159,111400
1-Nov-10,46.549999,46.799999,46.189999,46.459999,37.361015,68300
2-Nov-10,47.02,47.099998,46.880001,47.02,37.811348,113000
3-Nov-10,47.240002,47.27,46.709999,47.27,38.012383,91100
4-Nov-10,47.869999,48.27,47.869999,48.27,38.816544,107900
5-Nov-10,48.259998,48.349998,48.040001,48.259998,38.808495,198900
8-Nov-10,48,48.110001,47.82,48.099998,38.679829,68900
9-Nov-10,48.360001,48.360001,47.5,47.669998,38.334038,102000
10-Nov-10,47.799999,47.860001,47.25,47.779999,38.422489,91700
11-Nov-10,47.450001,47.57,47.25,47.57,38.253628,73300
12-Nov-10,47.299999,47.439999,46.689999,46.939999,37.747005,97600
15-Nov-10,47.080002,47.27,46.889999,46.900002,37.714844,86000
16-Nov-10,46.5,46.580002,45.68,45.950001,36.950897,179300
17-Nov-10,46.130001,46.27,45.950001,46.080002,37.05545,57500
18-Nov-10,46.84,47.07,46.709999,47.02,37.811348,79400
19-Nov-10,46.700001,47.029999,46.529999,47.02,37.811348,68100
22-Nov-10,46.639999,46.91,46.32,46.849998,37.674637,104500
23-Nov-10,46.09,46.09,45.599998,45.740002,36.782024,84200
24-Nov-10,46.189999,46.450001,46.169998,46.450001,37.352982,40100
26-Nov-10,45.919998,46.080002,45.759998,45.93,36.934818,32100
29-Nov-10,45.540001,45.759998,45.150002,45.68,36.733776,92700
30-Nov-10,45.029999,45.52,45.029999,45.259998,36.396038,93800
1-Dec-10,46.150002,46.5,46.119999,46.419998,37.32885,71600
2-Dec-10,46.509998,47.27,46.5,47.27,38.012383,209900
3-Dec-10,47.16,47.52,47.139999,47.5,38.197334,53500
6-Dec-10,47.330002,47.459999,47.189999,47.369999,38.0928,78700
7-Dec-10,48,48,47.310001,47.32,38.052589,167400
8-Dec-10,47.43,47.580002,47.110001,47.400002,38.116924,69200
9-Dec-10,47.619999,47.740002,47.299999,47.529999,38.221462,85300
10-Dec-10,47.529999,47.799999,47.41,47.73,38.382282,232700
13-Dec-10,48.220001,48.259998,47.98,48.040001,38.631584,155500
14-Dec-10,48.130001,48.299999,47.939999,48.099998,38.679829,169800
15-Dec-10,47.810001,48.040001,47.540001,47.639999,38.309917,119300
16-Dec-10,47.75,47.919998,47.5,47.91,38.527042,136300
17-Dec-10,47.790001,47.82,47.599998,47.77,38.414459,59300
20-Dec-10,48.02,48.02,47.650002,47.830002,38.462708,73900
21-Dec-10,48.07,48.279999,48.07,48.240002,38.792412,48200
22-Dec-10,47.490002,47.490002,47.25,47.450001,38.897339,189900
23-Dec-10,47.419998,47.419998,47.259998,47.360001,38.823566,45300
27-Dec-10,47.299999,47.389999,47.110001,47.389999,38.848148,62000
28-Dec-10,47.639999,47.639999,47.279999,47.360001,38.823566,59000
29-Dec-10,47.709999,47.790001,47.560001,47.689999,39.09407,171500
30-Dec-10,47.779999,47.849998,47.48,47.650002,39.061283,81200
31-Dec-10,47.619999,47.860001,47.549999,47.799999,39.184254,68100
3-Jan-11,48.200001,48.41,48.110001,48.23,39.536762,200500
4-Jan-11,48.400002,48.43,47.810001,48.150002,39.471169,123200
5-Jan-11,47.82,48.200001,47.77,48.169998,39.487556,95600
6-Jan-11,48.27,48.27,47.700001,47.830002,39.208847,458000
7-Jan-11,47.939999,47.939999,47.380001,47.669998,39.077671,103600
10-Jan-11,47.459999,47.52,47.150002,47.470001,38.913746,68600
11-Jan-11,47.810001,47.939999,47.669998,47.889999,39.258034,61400
12-Jan-11,48.25,48.619999,48.200001,48.619999,39.856449,55000
13-Jan-11,48.73,48.799999,48.470001,48.59,39.831867,65600
14-Jan-11,48.5,48.880001,48.450001,48.880001,40.069603,115300
18-Jan-11,48.990002,49.07,48.900002,49.029999,40.192554,155100
19-Jan-11,49.139999,49.139999,48.509998,48.599998,39.840054,66900
20-Jan-11,48.369999,48.41,47.959999,48.34,39.626923,74300
21-Jan-11,48.790001,48.790001,48.369999,48.459999,39.725285,60200
24-Jan-11,48.470001,48.790001,48.360001,48.779999,39.98761,122400
25-Jan-11,48.639999,48.66,48.299999,48.639999,39.872849,187200
26-Jan-11,48.900002,49.060001,48.790001,48.939999,40.118778,86000
27-Jan-11,49.02,49.150002,48.869999,49.09,40.241745,194000
28-Jan-11,49,49.040001,47.970001,48.02,39.364605,104000
31-Jan-11,48.240002,48.560001,48.220001,48.470001,39.733482,150300
1-Feb-11,48.889999,49.459999,48.849998,49.41,40.504063,69800
2-Feb-11,49.290001,49.450001,49.240002,49.299999,40.413883,51100
3-Feb-11,49.220001,49.369999,48.860001,49.360001,40.463074,78600
4-Feb-11,49.349998,49.419998,49.049999,49.419998,40.512264,52200
7-Feb-11,49.419998,49.720001,49.41,49.549999,40.61882,76600
8-Feb-11,49.639999,49.799999,49.450001,49.799999,40.823769,43900
9-Feb-11,49.59,49.669998,49.369999,49.48,40.561436,73500
10-Feb-11,49.009998,49.360001,48.869999,49.209999,40.340107,69100
11-Feb-11,49.009998,49.580002,49,49.5,40.577843,45600
14-Feb-11,49.490002,49.650002,49.400002,49.619999,40.676212,46500
15-Feb-11,49.580002,49.610001,49.41,49.509998,40.586029,54500
16-Feb-11,49.669998,49.939999,49.630001,49.880001,40.889351,85400
17-Feb-11,49.869999,50.23,49.830002,50.16,41.118885,80500
18-Feb-11,50.23,50.360001,50.09,50.32,41.250034,96500
22-Feb-11,49.720001,49.799999,48.919998,49.040001,40.200745,215500
23-Feb-11,49.189999,49.259998,48.549999,48.900002,40.085987,78800
24-Feb-11,49,49.16,48.560001,48.970001,40.143372,65900
25-Feb-11,49.310001,49.549999,49.259998,49.490002,40.569637,60100
28-Feb-11,49.939999,50.049999,49.669998,49.889999,40.897552,85500
1-Mar-11,50.110001,50.130001,49.220001,49.220001,40.348316,90600
2-Mar-11,49.25,49.66,49.25,49.490002,40.569637,60500
3-Mar-11,49.919998,50.27,49.82,50.240002,41.184448,99200
4-Mar-11,50.23,50.23,49.509998,49.860001,40.872952,139800
7-Mar-11,50,50.130001,49.279999,49.509998,40.586029,65100
8-Mar-11,49.52,49.889999,49.200001,49.779999,40.807369,39100
9-Mar-11,49.759998,49.82,49.5,49.700001,40.741783,41000
10-Mar-11,49.060001,49.060001,48.5,48.57,39.815468,140600
11-Mar-11,48.310001,48.849998,48.310001,48.75,39.963036,101600
14-Mar-11,48.150002,48.330002,47.849998,48.330002,39.618721,101800
15-Mar-11,46.560001,47.650002,46.279999,47.450001,38.897339,309900
16-Mar-11,47.389999,47.419998,45.959999,46.349998,37.995617,269500
17-Mar-11,47.34,47.560001,47.139999,47.380001,38.839962,165900
18-Mar-11,48.139999,48.349998,47.68,47.759998,39.151459,131800
21-Mar-11,48.650002,48.830002,48.450001,48.709999,39.930241,164000
22-Mar-11,48.889999,48.889999,48.5,48.610001,39.848263,96700
23-Mar-11,48.490002,48.830002,48.220001,48.68,39.90564,84700
24-Mar-11,49,49.48,48.799999,49.310001,40.422085,127300
25-Mar-11,49.200001,49.48,49.080002,49.220001,40.348316,86800
28-Mar-11,49.220001,49.450001,49.029999,49.080002,40.233543,82700
29-Mar-11,49.049999,49.43,48.84,49.43,40.520454,108500
30-Mar-11,49.599998,50,49.599998,49.919998,40.922131,67900
31-Mar-11,49.810001,50.02,49.720001,49.860001,40.872952,71500
1-Apr-11,50.130001,50.43,49.939999,50.27,41.209045,86700
4-Apr-11,50.330002,50.490002,50.220001,50.349998,41.274632,78900
5-Apr-11,50.189999,50.459999,50.119999,50.349998,41.274632,48800
6-Apr-11,50.68,50.689999,50.419998,50.599998,41.479565,65700
7-Apr-11,50.5,50.650002,50.18,50.43,41.340206,49100
8-Apr-11,50.919998,50.919998,50.360001,50.48,41.381195,161800
11-Apr-11,50.610001,50.700001,50.18,50.330002,41.258244,70100
12-Apr-11,50.139999,50.139999,49.610001,49.82,40.84016,66800
13-Apr-11,50.32,50.32,49.720001,49.900002,40.905731,108000
14-Apr-11,49.75,50.119999,49.59,50.07,41.045094,29100
15-Apr-11,49.990002,50.189999,49.84,50.09,41.061493,31400
18-Apr-11,49.34,49.580002,48.75,49.220001,40.348316,119100
19-Apr-11,49.490002,49.669998,49.349998,49.66,40.709003,89800
20-Apr-11,50.450001,50.740002,50.330002,50.610001,41.487766,66500
21-Apr-11,51.080002,51.080002,50.75,50.959999,41.774681,102500
25-Apr-11,51.080002,51.080002,50.66,50.91,41.733696,60000
26-Apr-11,51.060001,51.34,50.919998,51.259998,42.020611,67500
27-Apr-11,51.439999,51.740002,51.060001,51.689999,42.373104,65200
28-Apr-11,51.509998,51.849998,51.509998,51.810001,42.47147,100800
29-Apr-11,51.900002,52.130001,51.799999,52.029999,42.651814,164000
2-May-11,52.25,52.349998,51.82,51.880001,42.528835,131000
3-May-11,51.66,51.740002,51.16,51.490002,42.209148,84000
4-May-11,51.48,51.48,50.73,50.990002,41.799274,59000
5-May-11,50.709999,50.84,50.02,50.27,41.209045,142000
6-May-11,50.880001,51.130001,50.279999,50.5,41.397594,87100
9-May-11,50.560001,50.860001,50.330002,50.77,41.618927,60000
10-May-11,51.009998,51.360001,50.93,51.32,42.069782,84300
11-May-11,51.040001,51.040001,50.09,50.419998,41.332012,79100
12-May-11,50.299999,50.66,49.939999,50.459999,41.364799,163000
13-May-11,50.540001,50.540001,49.619999,49.869999,40.881149,83400
