xlffindate,xlffinprice,xlffinopen,xlffinhigh,xlffinlow,xlffinvol
1-Oct-10,11.7743,11.7662,11.8149,11.6444,132.13
4-Oct-10,11.6931,11.7581,11.8474,11.6363,85.55
5-Oct-10,11.9611,11.7987,12.0058,11.7117,133.01
6-Oct-10,11.953,11.9855,12.018,11.9124,64.75
7-Oct-10,11.9043,12.0098,12.0504,11.8362,71.8
8-Oct-10,11.9368,11.9205,11.9611,11.8718,62.42
11-Oct-10,11.9205,11.9449,11.9611,11.8718,41.27
12-Oct-10,12.0545,11.8556,12.0748,11.8312,65.83
13-Oct-10,12.0659,12.1316,12.1804,12.0342,112.67
14-Oct-10,11.8515,11.953,11.9774,11.7419,169.23
15-Oct-10,11.6485,11.8921,11.953,11.5713,132.86
18-Oct-10,11.9124,11.6119,11.9286,11.6119,78.31
19-Oct-10,11.7463,11.8231,11.9936,11.7013,146.74
20-Oct-10,11.8637,11.7581,11.9286,11.6525,96.6
21-Oct-10,11.86,11.9124,12.0017,11.7657,73.6
22-Oct-10,11.8568,11.888,11.9286,11.8231,41.26
25-Oct-10,11.8149,11.9611,11.9774,11.7987,45.77
26-Oct-10,11.8312,11.7662,11.8556,11.7419,47.41
27-Oct-10,11.8393,11.7906,11.8799,11.75,62.7
28-Oct-10,11.8352,11.9043,11.9368,11.7662,57.91
29-Oct-10,11.8223,11.8068,11.8474,11.7585,39.83
1-Nov-10,11.8231,11.8474,11.9286,11.7094,65.75
2-Nov-10,11.8515,11.8921,11.9043,11.8231,54.59
3-Nov-10,11.9692,11.8637,11.9774,11.7743,108.19
4-Nov-10,12.3679,12.091,12.3915,12.0829,166.48
5-Nov-10,12.6513,12.3996,12.7325,12.3671,165.6
8-Nov-10,12.5535,12.6352,12.6432,12.4402,89.97
9-Nov-10,12.3184,12.5945,12.6026,12.2372,122.19
10-Nov-10,12.4564,12.3143,12.4646,12.2128,121.83
11-Nov-10,12.3346,12.3346,12.3915,12.2697,59.78
12-Nov-10,12.1316,12.2697,12.3103,12.0992,88.75
15-Nov-10,12.1844,12.2128,12.3428,12.1722,71.51
16-Nov-10,11.9814,12.1235,12.1398,11.888,135.73
17-Nov-10,11.9006,11.9774,12.0098,11.8718,90.51
18-Nov-10,12.0667,12.0504,12.1479,12.018,85.44
19-Nov-10,12.0622,12.0017,12.0667,11.953,43.62
22-Nov-10,11.888,11.9855,11.9936,11.8068,97.22
23-Nov-10,11.7013,11.7581,11.7987,11.6931,84.87
24-Nov-10,11.8799,11.7825,11.888,11.75,58.75
26-Nov-10,11.7337,11.7743,11.8393,11.7337,31.72
29-Nov-10,11.8068,11.685,11.8556,11.6607,82.16
30-Nov-10,11.7419,11.7094,11.8312,11.6931,76.7
